Time ,Xa,Ya,Za,,,,,,
3.15018315,-1.04,0.22,0.03,,,-0.03,-1,86,0.03663003663
3.186813187,-1,0.13,0,,,0,-1,87,0.03663003663
3.223443223,-1.08,0.06,-0.04,,,0.04,-1,88,0.03663003663
3.26007326,-1.09,0.32,0.07,,,-0.07,-1,89,0.03663003663
3.296703297,-1.14,0.35,0.07,,,-0.07,-1,90,0.03663003663
3.333333333,-1.02,0.12,0,,,0,-1,91,0.03663003663
3.36996337,-1.05,0.14,-0.01,,,0.01,-1,92,0.03663003663
3.406593407,-1.09,0.19,0.02,,,-0.02,-1,93,0.03663003663
3.443223443,-1.05,0.23,0.04,,,-0.04,-1,94,0.03663003663
3.47985348,-0.95,0.15,0.01,,,-0.01,-1,95,0.03663003663
3.516483516,-0.96,0.18,0.03,,,-0.03,-1,96,0.03663003663
3.553113553,-1.07,0.25,0.05,,,-0.05,-1,97,0.03663003663
3.58974359,-1.05,0.12,-0.01,,,0.01,-1,98,0.03663003663
3.626373626,-1.04,0.24,0.04,,,-0.04,-1,99,0.03663003663
3.663003663,-1.06,0.3,0.08,,,-0.08,-1,100,0.03663003663
3.6996337,-1.01,0.09,-0.02,,,0.02,-1,101,0.03663003663
3.736263736,-1.02,0.07,-0.04,,,0.04,-1,102,0.03663003663
3.772893773,-0.99,0.21,0.04,,,-0.04,-1,103,0.03663003663
3.80952381,-1.04,0.21,0.03,,,-0.03,-1,104,0.03663003663
3.846153846,-1.04,0.16,0,,,0,-1,105,0.03663003663
3.882783883,-1.05,0.21,0.02,,,-0.02,-1,106,0.03663003663
3.919413919,-1.06,0.15,0,,,0,-1,107,0.03663003663
3.956043956,-1.1,0.24,0.03,,,-0.03,-1,108,0.03663003663
3.992673993,-1.02,0.19,0.02,,,-0.02,-1,109,0.03663003663
4.029304029,-1.09,0.18,0.01,,,-0.01,-1,110,0.03663003663
4.065934066,-1.04,0.18,0.02,,,-0.02,-1,111,0.03663003663
4.102564103,-1.05,0.12,-0.01,,,0.01,-1,112,0.03663003663
4.139194139,-1.07,0.25,0.04,,,-0.04,-1,113,0.03663003663
4.175824176,-1.07,0.23,0.03,,,-0.03,-1,114,0.03663003663
4.212454212,-0.98,0.12,-0.01,,,0.01,-1,115,0.03663003663
4.249084249,-1.07,0.2,0.01,,,-0.01,-1,116,0.03663003663
4.285714286,-1.12,0.15,0.01,,,-0.01,-1,117,0.03663003663
4.322344322,-1.05,0.25,0.04,,,-0.04,-1,118,0.03663003663
4.358974359,-0.96,0.15,0,,,0,-1,119,0.03663003663
4.395604396,-1.07,0.12,-0.02,,,0.02,-1,120,0.03663003663
4.432234432,-1.1,0.17,0,,,0,-1,121,0.03663003663
4.468864469,-1.09,0.18,0.01,,,-0.01,-1,122,0.03663003663
4.505494505,-1.06,0.23,0.03,,,-0.03,-1,123,0.03663003663
4.542124542,-1.06,0.21,0.03,,,-0.03,-1,124,0.03663003663
4.578754579,-1.07,0.09,-0.02,,,0.02,-1,125,0.03663003663
4.615384615,-1.13,0.18,0,,,0,-1,126,0.03663003663
4.652014652,-1.02,0.2,0.03,,,-0.03,-1,127,0.03663003663
4.688644689,-1.14,0.2,0.02,,,-0.02,-1,128,0.03663003663
4.725274725,-1.09,0.21,0.04,,,-0.04,-1,129,0.03663003663
4.761904762,-1.05,0.2,0.02,,,-0.02,-1,130,0.03663003663
4.798534799,-1.02,0.21,0.04,,,-0.04,-1,131,0.03663003663
4.835164835,-1.14,0.15,-0.01,,,0.01,-1,132,0.03663003663
4.871794872,-0.99,0.12,0,,,0,-1,133,0.03663003663
4.908424908,-1.11,0.21,0.03,,,-0.03,-1,134,0.03663003663
4.945054945,-0.96,0.15,0.02,,,-0.02,-1,135,0.03663003663
4.981684982,-1.01,0.1,-0.01,,,0.01,-1,136,0.03663003663
5.018315018,-1,0.21,0.03,,,-0.03,-1,137,0.03663003663
5.054945055,-1.08,0.2,0.01,,,-0.01,-1,138,0.03663003663
5.091575092,-1.04,0.13,0,,,0,-1,139,0.03663003663
5.128205128,-1,0.23,0.04,,,-0.04,-1,140,0.03663003663
5.164835165,-1.03,0.19,0.02,,,-0.02,-1,141,0.03663003663
5.201465201,-1,0.18,0.02,,,-0.02,-1,142,0.03663003663
5.238095238,-1.02,0.26,0.04,,,-0.04,-1,143,0.03663003663
5.274725275,-0.97,0.08,-0.01,,,0.01,-1,144,0.03663003663
5.311355311,-1.04,0.07,-0.03,,,0.03,-1,145,0.03663003663
5.347985348,-1.07,0.23,0.04,,,-0.04,-1,146,0.03663003663
5.384615385,-1.05,0.21,0.02,,,-0.02,-1,147,0.03663003663
5.421245421,-1.12,0.18,0.01,,,-0.01,-1,148,0.03663003663
5.457875458,-1.07,0.16,0.02,,,-0.02,-1,149,0.03663003663
5.494505495,-1.12,0.21,0.01,,,-0.01,-1,150,0.03663003663
5.531135531,-1.14,0.19,0.01,,,-0.01,-1,151,0.03663003663
5.567765568,-1.04,0.11,0,,,0,-1,152,0.03663003663
5.604395604,-1.01,0.31,0.06,,,-0.06,-1,153,0.03663003663
5.641025641,-1.07,0.14,0,,,0,-1,154,0.03663003663
5.677655678,-0.98,0.17,0.01,,,-0.01,-1,155,0.03663003663
5.714285714,-0.97,0.19,0.03,,,-0.03,-1,156,0.03663003663
5.750915751,-1.03,0.2,0.02,,,-0.02,-1,157,0.03663003663
5.787545788,-1.12,0.16,-0.01,,,0.01,-1,158,0.03663003663
5.824175824,-1.09,0.24,0.04,,,-0.04,-1,159,0.03663003663
5.860805861,-1.04,0.1,0,,,0,-1,160,0.03663003663
5.897435897,-1.05,0.17,0,,,0,-1,161,0.03663003663
5.934065934,-1.11,0.25,0.03,,,-0.03,-1,162,0.03663003663
5.970695971,-1.06,0.13,-0.01,,,0.01,-1,163,0.03663003663
6.007326007,-1.05,0.2,0.02,,,-0.02,-1,164,0.03663003663
6.043956044,-1,0.21,0.02,,,-0.02,-1,165,0.03663003663
6.080586081,-1.07,0.17,0.01,,,-0.01,-1,166,0.03663003663
6.117216117,-1.07,0.19,0.01,,,-0.01,-1,167,0.03663003663
6.153846154,-1.08,0.27,0.05,,,-0.05,-1,168,0.03663003663
6.19047619,-0.96,0.07,-0.02,,,0.02,-1,169,0.03663003663
6.227106227,-1.05,0.06,-0.03,,,0.03,-1,170,0.03663003663
6.263736264,-1.07,0.32,0.06,,,-0.06,-1,171,0.03663003663
6.3003663,-1.08,0.23,0.04,,,-0.04,-1,172,0.03663003663
6.336996337,-1.04,0.13,0,,,0,-1,173,0.03663003663
6.373626374,-1.06,0.27,0.04,,,-0.04,-1,174,0.03663003663
6.41025641,-1.05,0.23,0.04,,,-0.04,-1,175,0.03663003663
6.446886447,-1.05,0.07,-0.03,,,0.03,-1,176,0.03663003663
6.483516484,-1.07,0.18,0.01,,,-0.01,-1,177,0.03663003663
6.52014652,-1.11,0.21,0.02,,,-0.02,-1,178,0.03663003663
6.556776557,-1.01,0.22,0.04,,,-0.04,-1,179,0.03663003663
6.593406593,-1.13,0.2,0,,,0,-1,180,0.03663003663
6.63003663,-1.12,0.16,0,,,0,-1,181,0.03663003663
6.666666667,-1.01,0.16,0,,,0,-1,182,0.03663003663
6.703296703,-1.04,0.19,0.02,,,-0.02,-1,183,0.03663003663
6.73992674,-1.14,0.26,0.04,,,-0.04,-1,184,0.03663003663
6.776556777,-0.95,0.13,0.01,,,-0.01,-1,185,0.03663003663
6.813186813,-1,0.23,0.04,,,-0.04,-1,186,0.03663003663
6.84981685,-1,0.25,0.05,,,-0.05,-1,187,0.03663003663
6.886446886,-0.96,0.09,0,,,0,-1,188,0.03663003663
6.923076923,-0.97,0.06,-0.03,,,0.03,-1,189,0.03663003663
6.95970696,-1.08,0.29,0.05,,,-0.05,-1,190,0.03663003663
6.996336996,-1.02,0.2,0.04,,,-0.04,-1,191,0.03663003663
7.032967033,-1.03,0.08,-0.01,,,0.01,-1,192,0.03663003663
7.06959707,-1.03,0.18,0.02,,,-0.02,-1,193,0.03663003663
7.106227106,-1.12,0.18,0.01,,,-0.01,-1,194,0.03663003663
7.142857143,-1.13,0.27,0.05,,,-0.05,-1,195,0.03663003663
7.179487179,-0.99,0.18,0.02,,,-0.02,-1,196,0.03663003663
7.216117216,-1.09,0.12,-0.01,,,0.01,-1,197,0.03663003663
7.252747253,-1.16,0.21,0.02,,,-0.02,-1,198,0.03663003663
7.289377289,-1.07,0.11,-0.01,,,0.01,-1,199,0.03663003663
7.326007326,-1.14,0.27,0.05,,,-0.05,-1,200,0.03663003663
7.362637363,-1.07,0.13,-0.01,,,0.01,-1,201,0.03663003663
7.399267399,-1,0.2,0.04,,,-0.04,-1,202,0.03663003663
7.435897436,-1.04,0.11,0,,,0,-1,203,0.03663003663
7.472527473,-1.07,0.15,-0.01,,,0.01,-1,204,0.03663003663
7.509157509,-1.04,0.26,0.05,,,-0.05,-1,205,0.03663003663
7.545787546,-1.03,0.17,0.02,,,-0.02,-1,206,0.03663003663
7.582417582,-1.01,0.18,0.03,,,-0.03,-1,207,0.03663003663
7.619047619,-1.04,0.18,0,,,0,-1,208,0.03663003663
7.655677656,-1.05,0.16,0,,,0,-1,209,0.03663003663
7.692307692,-1.1,0.15,0,,,0,-1,210,0.03663003663
7.728937729,-1.09,0.23,0.03,,,-0.03,-1,211,0.03663003663
7.765567766,-1.11,0.26,0.05,,,-0.05,-1,212,0.03663003663
7.802197802,-1.15,0.09,-0.03,,,0.03,-1,213,0.03663003663
7.838827839,-1,0.16,0.01,,,-0.01,-1,214,0.03663003663
7.875457875,-0.99,0.25,0.04,,,-0.04,-1,215,0.03663003663
7.912087912,-1.02,0.07,-0.02,,,0.02,-1,216,0.03663003663
7.948717949,-1.07,0.29,0.05,,,-0.05,-1,217,0.03663003663
7.985347985,-0.96,0.2,0.03,,,-0.03,-1,218,0.03663003663
8.021978022,-0.99,0.09,-0.01,,,0.01,-1,219,0.03663003663
8.058608059,-1.03,0.15,0,,,0,-1,220,0.03663003663
8.095238095,-1.09,0.28,0.06,,,-0.06,-1,221,0.03663003663
8.131868132,-1.09,0.24,0.04,,,-0.04,-1,222,0.03663003663
8.168498168,-1.07,0.11,-0.02,,,0.02,-1,223,0.03663003663
8.205128205,-1.07,0.09,-0.02,,,0.02,-1,224,0.03663003663
8.241758242,-1.13,0.25,0.04,,,-0.04,-1,225,0.03663003663
8.278388278,-1.09,0.2,0.02,,,-0.02,-1,226,0.03663003663
8.315018315,-1.12,0.22,0.04,,,-0.04,-1,227,0.03663003663
8.351648352,-0.96,0.14,0.01,,,-0.01,-1,228,0.03663003663
8.388278388,-1.08,0.16,-0.01,,,0.01,-1,229,0.03663003663
8.424908425,-1.07,0.21,0.03,,,-0.03,-1,230,0.03663003663
8.461538462,-1.06,0.2,0.03,,,-0.03,-1,231,0.03663003663
8.498168498,-1.01,0.12,-0.01,,,0.01,-1,232,0.03663003663
8.534798535,-1.01,0.18,0.01,,,-0.01,-1,233,0.03663003663
8.571428571,-1.07,0.2,0.03,,,-0.03,-1,234,0.03663003663
8.608058608,-0.99,0.08,-0.01,,,0.01,-1,235,0.03663003663
8.644688645,-1.09,0.11,-0.01,,,0.01,-1,236,0.03663003663
8.681318681,-1.02,0.23,0.04,,,-0.04,-1,237,0.03663003663
8.717948718,-1.13,0.15,0,,,0,-1,238,0.03663003663
8.754578755,-1.05,0.24,0.03,,,-0.03,-1,239,0.03663003663
8.791208791,-1.1,0.21,0.02,,,-0.02,-1,240,0.03663003663
8.827838828,-1.03,0.19,0.02,,,-0.02,-1,241,0.03663003663
8.864468864,-1.04,0.24,0.04,,,-0.04,-1,242,0.03663003663
8.901098901,-0.96,0.12,-0.01,,,0.01,-1,243,0.03663003663
8.937728938,-1.05,0.12,0,,,0,-1,244,0.03663003663
8.974358974,-1.02,0.2,0.02,,,-0.02,-1,245,0.03663003663
9.010989011,-1.02,0.19,0.02,,,-0.02,-1,246,0.03663003663
9.047619048,-1,0.18,0.01,,,-0.01,-1,247,0.03663003663
9.084249084,-0.98,0.19,0.03,,,-0.03,-1,248,0.03663003663
9.120879121,-1.06,0.19,0.02,,,-0.02,-1,249,0.03663003663
9.157509158,-1.06,0.19,0.02,,,-0.02,-1,250,0.03663003663
9.194139194,-1.03,0.09,-0.01,,,0.01,-1,251,0.03663003663
9.230769231,-1.02,0.25,0.05,,,-0.05,-1,252,0.03663003663
9.267399267,-1.01,0.14,0,,,0,-1,253,0.03663003663
9.304029304,-0.98,0.04,-0.03,,,0.03,-1,254,0.03663003663
9.340659341,-1.14,0.23,0.02,,,-0.02,-1,255,0.03663003663
9.377289377,-1.01,0.22,0.03,,,-0.03,-1,256,0.03663003663
9.413919414,-1.13,0.18,0,,,0,-1,257,0.03663003663
9.450549451,-1.01,0.23,0.04,,,-0.04,-1,258,0.03663003663
9.487179487,-0.99,0.12,-0.01,,,0.01,-1,259,0.03663003663
9.523809524,-1.15,0.18,0.02,,,-0.02,-1,260,0.03663003663
9.56043956,-1.05,0.3,0.07,,,-0.07,-1,261,0.03663003663
9.597069597,-1.01,0.18,0.02,,,-0.02,-1,262,0.03663003663
9.633699634,-1.04,0.11,-0.02,,,0.02,-1,263,0.03663003663
9.67032967,-1.06,0.27,0.04,,,-0.04,-1,264,0.03663003663
9.706959707,-1.03,0.14,0.01,,,-0.01,-1,265,0.03663003663
9.743589744,-1.05,0.08,-0.03,,,0.03,-1,266,0.03663003663
9.78021978,-1.05,0.3,0.07,,,-0.07,-1,267,0.03663003663
9.816849817,-1.04,0.28,0.06,,,-0.06,-1,268,0.03663003663
