time,Xa,Ya,Za,,,,,,
4.094117647,-0.96,0.25,0.03,,,-0.03,-1,87,0.04705882353
4.141176471,-0.88,0.18,0.01,,,-0.01,-1,88,0.04705882353
4.188235294,-1.02,0.19,0,,,0,-1,89,0.04705882353
4.235294118,-1,0.23,0.03,,,-0.03,-1,90,0.04705882353
4.282352941,-1.05,0.28,0.02,,,-0.02,-1,91,0.04705882353
4.329411765,-0.95,0.19,0.02,,,-0.02,-1,92,0.04705882353
4.376470588,-0.87,0.21,0.05,,,-0.05,-1,93,0.04705882353
4.423529412,-1,0.21,0.02,,,-0.02,-1,94,0.04705882353
4.470588235,-1.02,0.12,0.01,,,-0.01,-1,95,0.04705882353
4.517647059,-1.11,0.13,-0.02,,,0.02,-1,96,0.04705882353
4.564705882,-1.16,0.25,0,,,0,-1,97,0.04705882353
4.611764706,-1.03,0.17,0,,,0,-1,98,0.04705882353
4.658823529,-1.02,0.17,0,,,0,-1,99,0.04705882353
4.705882353,-0.96,0.21,0.02,,,-0.02,-1,100,0.04705882353
4.752941176,-1,0.24,0.03,,,-0.03,-1,101,0.04705882353
4.8,-1,0.17,0.03,,,-0.03,-1,102,0.04705882353
4.847058824,-1.03,0.11,0.02,,,-0.02,-1,103,0.04705882353
4.894117647,-1.11,0.09,0,,,0,-1,104,0.04705882353
4.941176471,-1.19,0.11,-0.01,,,0.01,-1,105,0.04705882353
4.988235294,-1.32,0.13,-0.02,,,0.02,-1,106,0.04705882353
5.035294118,-1.16,0.21,-0.02,,,0.02,-1,107,0.04705882353
5.082352941,-1.13,0.28,0.03,,,-0.03,-1,108,0.04705882353
5.129411765,-0.95,0.2,0.04,,,-0.04,-1,109,0.04705882353
5.176470588,-1.06,0.18,0.02,,,-0.02,-1,110,0.04705882353
5.223529412,-1.04,0.18,0.01,,,-0.01,-1,111,0.04705882353
5.270588235,-1.07,0.2,0.03,,,-0.03,-1,112,0.04705882353
5.317647059,-0.93,0.19,0.02,,,-0.02,-1,113,0.04705882353
5.364705882,-1.08,0.15,0,,,0,-1,114,0.04705882353
5.411764706,-0.97,0.12,0.01,,,-0.01,-1,115,0.04705882353
5.458823529,-1.03,0.16,0.04,,,-0.04,-1,116,0.04705882353
5.505882353,-1.05,0.18,0.02,,,-0.02,-1,117,0.04705882353
5.552941176,-1.04,0.14,0,,,0,-1,118,0.04705882353
5.6,-1.02,0.19,0.02,,,-0.02,-1,119,0.04705882353
5.647058824,-1.14,0.2,0,,,0,-1,120,0.04705882353
5.694117647,-1.07,0.16,0.01,,,-0.01,-1,121,0.04705882353
5.741176471,-1.09,0.17,-0.01,,,0.01,-1,122,0.04705882353
5.788235294,-1.04,0.21,0.01,,,-0.01,-1,123,0.04705882353
5.835294118,-1.1,0.26,0.02,,,-0.02,-1,124,0.04705882353
5.882352941,-0.99,0.23,0.02,,,-0.02,-1,125,0.04705882353
5.929411765,-0.94,0.25,0.04,,,-0.04,-1,126,0.04705882353
5.976470588,-0.92,0.23,0.03,,,-0.03,-1,127,0.04705882353
6.023529412,-0.95,0.21,0.05,,,-0.05,-1,128,0.04705882353
6.070588235,-1.07,0.14,0.01,,,-0.01,-1,129,0.04705882353
6.117647059,-1.06,0.11,-0.02,,,0.02,-1,130,0.04705882353
6.164705882,-1.12,0.19,0.01,,,-0.01,-1,131,0.04705882353
6.211764706,-1.07,0.2,0,,,0,-1,132,0.04705882353
6.258823529,-1.1,0.15,-0.01,,,0.01,-1,133,0.04705882353
6.305882353,-1.1,0.24,0.05,,,-0.05,-1,134,0.04705882353
6.352941176,-1.11,0.19,0.03,,,-0.03,-1,135,0.04705882353
6.4,-0.99,0.06,-0.01,,,0.01,-1,136,0.04705882353
6.447058824,-1.14,0.14,0,,,0,-1,137,0.04705882353
6.494117647,-1.13,0.23,0,,,0,-1,138,0.04705882353
6.541176471,-1.09,0.21,0.01,,,-0.01,-1,139,0.04705882353
6.588235294,-0.95,0.14,0.02,,,-0.02,-1,140,0.04705882353
6.635294118,-1.01,0.14,0.02,,,-0.02,-1,141,0.04705882353
6.682352941,-1.1,0.08,-0.02,,,0.02,-1,142,0.04705882353
6.729411765,-1.18,0.13,0,,,0,-1,143,0.04705882353
6.776470588,-1.21,0.07,-0.04,,,0.04,-1,144,0.04705882353
6.823529412,-1.12,0.08,-0.03,,,0.03,-1,145,0.04705882353
6.870588235,-1.22,0.27,0,,,0,-1,146,0.04705882353
6.917647059,-1.07,0.24,0.02,,,-0.02,-1,147,0.04705882353
6.964705882,-0.89,0.21,0.02,,,-0.02,-1,148,0.04705882353
7.011764706,-0.88,0.25,0.08,,,-0.08,-1,149,0.04705882353
7.058823529,-1,0.18,0.03,,,-0.03,-1,150,0.04705882353
7.105882353,-0.99,0.1,0.02,,,-0.02,-1,151,0.04705882353
7.152941176,-1.16,0.11,0,,,0,-1,152,0.04705882353
7.2,-1.17,0.17,0.01,,,-0.01,-1,153,0.04705882353
7.247058824,-1.09,0.15,0,,,0,-1,154,0.04705882353
7.294117647,-1.07,0.18,0.01,,,-0.01,-1,155,0.04705882353
7.341176471,-1.04,0.19,0.04,,,-0.04,-1,156,0.04705882353
7.388235294,-1.05,0.12,0.02,,,-0.02,-1,157,0.04705882353
7.435294118,-1.09,0.12,0.01,,,-0.01,-1,158,0.04705882353
7.482352941,-1.05,0.2,0.03,,,-0.03,-1,159,0.04705882353
7.529411765,-1.15,0.21,0.02,,,-0.02,-1,160,0.04705882353
7.576470588,-1.02,0.09,-0.02,,,0.02,-1,161,0.04705882353
7.623529412,-1.14,0.14,-0.02,,,0.02,-1,162,0.04705882353
7.670588235,-1.09,0.21,0.02,,,-0.02,-1,163,0.04705882353
7.717647059,-1.09,0.22,0.02,,,-0.02,-1,164,0.04705882353
7.764705882,-1.04,0.22,0.02,,,-0.02,-1,165,0.04705882353
7.811764706,-1.05,0.2,0.01,,,-0.01,-1,166,0.04705882353
7.858823529,-1,0.17,0,,,0,-1,167,0.04705882353
7.905882353,-1.01,0.24,0.02,,,-0.02,-1,168,0.04705882353
7.952941176,-1.02,0.24,0.01,,,-0.01,-1,169,0.04705882353
8,-0.96,0.22,0.02,,,-0.02,-1,170,0.04705882353
8.047058824,-1.01,0.23,0.02,,,-0.02,-1,171,0.04705882353
8.094117647,-0.98,0.25,0.01,,,-0.01,-1,172,0.04705882353
8.141176471,-1.01,0.31,0.04,,,-0.04,-1,173,0.04705882353
8.188235294,-0.85,0.25,0.05,,,-0.05,-1,174,0.04705882353
8.235294118,-0.93,0.16,0.04,,,-0.04,-1,175,0.04705882353
8.282352941,-0.91,0.13,0.04,,,-0.04,-1,176,0.04705882353
8.329411765,-1,0.01,0,,,0,-1,177,0.04705882353
8.376470588,-1.15,0.12,0,,,0,-1,178,0.04705882353
8.423529412,-1.13,0.19,0,,,0,-1,179,0.04705882353
8.470588235,-1.27,0.18,0,,,0,-1,180,0.04705882353
8.517647059,-1.17,0.15,-0.02,,,0.02,-1,181,0.04705882353
8.564705882,0,0,0,,,0,-1,182,0.04705882353
8.611764706,-1.21,0.18,-0.02,,,0.02,-1,183,0.04705882353
8.658823529,-1.11,0.26,0.02,,,-0.02,-1,184,0.04705882353
8.705882353,-0.98,0.22,0.03,,,-0.03,-1,185,0.04705882353
8.752941176,-0.97,0.16,0.03,,,-0.03,-1,186,0.04705882353
8.8,-0.96,0.18,0.04,,,-0.04,-1,187,0.04705882353
8.847058824,-1,0.11,0.02,,,-0.02,-1,188,0.04705882353
8.894117647,-1.09,0.11,-0.01,,,0.01,-1,189,0.04705882353
8.941176471,-1.13,0.1,-0.04,,,0.04,-1,190,0.04705882353
8.988235294,-1.22,0.18,-0.01,,,0.01,-1,191,0.04705882353
9.035294118,-1.18,0.22,0.01,,,-0.01,-1,192,0.04705882353
9.082352941,-1.12,0.26,0.01,,,-0.01,-1,193,0.04705882353
9.129411765,-1.07,0.25,0.01,,,-0.01,-1,194,0.04705882353
9.176470588,-0.93,0.25,0.03,,,-0.03,-1,195,0.04705882353
9.223529412,-1,0.2,0.02,,,-0.02,-1,196,0.04705882353
9.270588235,-0.96,0.2,0.04,,,-0.04,-1,197,0.04705882353
9.317647059,-1.05,0.17,0.02,,,-0.02,-1,198,0.04705882353
9.364705882,-1.02,0.11,0.02,,,-0.02,-1,199,0.04705882353
9.411764706,-1.1,0.14,-0.01,,,0.01,-1,200,0.04705882353
9.458823529,-1.17,0.22,-0.01,,,0.01,-1,201,0.04705882353
9.505882353,-1.16,0.28,0.02,,,-0.02,-1,202,0.04705882353
9.552941176,-1.09,0.28,0.03,,,-0.03,-1,203,0.04705882353
9.6,-0.99,0.21,0.01,,,-0.01,-1,204,0.04705882353
9.647058824,-1.07,0.25,0.04,,,-0.04,-1,205,0.04705882353
9.694117647,-0.94,0.15,0.02,,,-0.02,-1,206,0.04705882353
9.741176471,-0.99,0.18,0.01,,,-0.01,-1,207,0.04705882353
9.788235294,-1.09,0.2,0.02,,,-0.02,-1,208,0.04705882353
9.835294118,-1.13,0.22,0.02,,,-0.02,-1,209,0.04705882353
9.882352941,-1.12,0.2,0.02,,,-0.02,-1,210,0.04705882353
9.929411765,-1,0.24,0.01,,,-0.01,-1,211,0.04705882353
9.976470588,-1.08,0.18,-0.01,,,0.01,-1,212,0.04705882353
10.02352941,-1.01,0.17,0,,,0,-1,213,0.04705882353
10.07058824,-1.05,0.23,0.01,,,-0.01,-1,214,0.04705882353
10.11764706,-1.04,0.23,0.03,,,-0.03,-1,215,0.04705882353
10.16470588,-1.01,0.18,0.02,,,-0.02,-1,216,0.04705882353
10.21176471,-1.04,0.2,0.02,,,-0.02,-1,217,0.04705882353
10.25882353,-1.09,0.12,-0.01,,,0.01,-1,218,0.04705882353
10.30588235,-1.05,0.17,0,,,0,-1,219,0.04705882353
10.35294118,-1.07,0.16,0.02,,,-0.02,-1,220,0.04705882353
10.4,-1.03,0.2,0.02,,,-0.02,-1,221,0.04705882353
10.44705882,-0.95,0.18,0.02,,,-0.02,-1,222,0.04705882353
10.49411765,-1.12,0.25,0.04,,,-0.04,-1,223,0.04705882353
10.54117647,-0.99,0.19,0.04,,,-0.04,-1,224,0.04705882353
10.58823529,-1.12,0.14,0,,,0,-1,225,0.04705882353
10.63529412,-1.05,0.12,0,,,0,-1,226,0.04705882353
10.68235294,-1.05,0.18,0.02,,,-0.02,-1,227,0.04705882353
10.72941176,-1.06,0.13,0.01,,,-0.01,-1,228,0.04705882353
10.77647059,-1.09,0.12,0,,,0,-1,229,0.04705882353
10.82352941,-1.1,0.1,-0.02,,,0.02,-1,230,0.04705882353
10.87058824,-1.25,0.24,0,,,0,-1,231,0.04705882353
10.91764706,-1.09,0.15,0.02,,,-0.02,-1,232,0.04705882353
10.96470588,-1.25,0.2,0,,,0,-1,233,0.04705882353
11.01176471,-1.18,0.19,-0.02,,,0.02,-1,234,0.04705882353
11.05882353,-1.14,0.21,-0.01,,,0.01,-1,235,0.04705882353
11.10588235,-1.03,0.19,0,,,0,-1,236,0.04705882353
11.15294118,-1.07,0.28,0.03,,,-0.03,-1,237,0.04705882353
11.2,-1,0.23,0.02,,,-0.02,-1,238,0.04705882353
11.24705882,-0.96,0.18,-0.01,,,0.01,-1,239,0.04705882353
11.29411765,-1.07,0.19,0.02,,,-0.02,-1,240,0.04705882353
11.34117647,-1.05,0.16,0.01,,,-0.01,-1,241,0.04705882353
11.38823529,-1.13,0.22,0.02,,,-0.02,-1,242,0.04705882353
11.43529412,-1.03,0.2,0.02,,,-0.02,-1,243,0.04705882353
11.48235294,-1,0.26,0.04,,,-0.04,-1,244,0.04705882353
11.52941176,-0.9,0.22,0.05,,,-0.05,-1,245,0.04705882353
