time,Xa,Ya,Za,,,,,,,,
2.972477064,-1.09,0.2,0,,,,,-1,0,81,0.03669724771
3.009174312,-1.04,0.2,0.02,,,,,-1,-0.02,82,0.03669724771
3.04587156,-1.05,0.18,0.02,,,,,-1,-0.02,83,0.03669724771
3.082568807,-0.9,0.2,0.04,,,,,-1,-0.04,84,0.03669724771
3.119266055,-1.12,0.21,0,,,,,-1,0,85,0.03669724771
3.155963303,-1.03,0.12,-0.01,,,,,-1,0.01,86,0.03669724771
3.19266055,-1.07,0.2,0,,,,,-1,0,87,0.03669724771
3.229357798,-1.11,0.2,0.02,,,,,-1,-0.02,88,0.03669724771
3.266055046,-1,0.19,0,,,,,-1,0,89,0.03669724771
3.302752294,-1.05,0.11,-0.02,,,,,-1,0.02,90,0.03669724771
3.339449541,-1.13,0.18,0.02,,,,,-1,-0.02,91,0.03669724771
3.376146789,-1.15,0.24,0.02,,,,,-1,-0.02,92,0.03669724771
3.412844037,-0.84,0.12,0.02,,,,,-1,-0.02,93,0.03669724771
3.449541284,-1.12,0.21,0,,,,,-1,0,94,0.03669724771
3.486238532,-1.04,0.24,0.03,,,,,-1,-0.03,95,0.03669724771
3.52293578,-0.96,0.19,0.01,,,,,-1,-0.01,96,0.03669724771
3.559633028,-1.02,0.14,0,,,,,-1,0,97,0.03669724771
3.596330275,-1.06,0.24,0.03,,,,,-1,-0.03,98,0.03669724771
3.633027523,-0.94,0.16,0.05,,,,,-1,-0.05,99,0.03669724771
3.669724771,-0.97,0.16,0.02,,,,,-1,-0.02,100,0.03669724771
3.706422018,-0.85,0.14,0,,,,,-1,0,101,0.03669724771
3.743119266,-0.93,0.2,0.01,,,,,-1,-0.01,102,0.03669724771
3.779816514,-1.07,0.22,0.02,,,,,-1,-0.02,103,0.03669724771
3.816513761,-0.89,0.17,0.01,,,,,-1,-0.01,104,0.03669724771
3.853211009,-1.16,0.14,0,,,,,-1,0,105,0.03669724771
3.889908257,-1.07,0.22,0.03,,,,,-1,-0.03,106,0.03669724771
