time,Xa,Ya,Za,,,,
0.03246753247,0.17,0.46,0.58,,,1,0.03246753247
0.06493506494,0.09,0.38,0.89,,,2,0.03246753247
0.0974025974,0.13,0.44,0.85,,,3,0.03246753247
0.1298701299,0.05,0.46,1.48,,,4,0.03246753247
0.1623376623,0.18,0.39,-0.15,,,5,0.03246753247
0.1948051948,0.12,0.53,0.6,,,6,0.03246753247
0.2272727273,0.04,0.32,1.27,,,7,0.03246753247
0.2597402597,0.01,0.33,1.45,,,8,0.03246753247
0.2922077922,0.1,0.29,0.51,,,9,0.03246753247
0.3246753247,0.12,0.53,0.84,,,10,0.03246753247
0.3571428571,0.15,0.61,0.18,,,11,0.03246753247
0.3896103896,0,0.57,2,,,12,0.03246753247
0.4220779221,0.13,0.77,1.3,,,13,0.03246753247
0.4545454545,0.09,-0.02,0.57,,,14,0.03246753247
0.487012987,0.16,0.14,0.1,,,15,0.03246753247
0.5194805195,0.12,0.51,0.72,,,16,0.03246753247
0.5519480519,0.03,0.23,0.89,,,17,0.03246753247
0.5844155844,0.15,0.53,0.81,,,18,0.03246753247
0.6168831169,0.13,0.79,1.79,,,19,0.03246753247
0.6493506494,0.13,0.35,0.12,,,20,0.03246753247
0.6818181818,0.12,0.37,0.52,,,21,0.03246753247
0.7142857143,0.16,0.4,0.06,,,22,0.03246753247
0.7467532468,0,0.4,1.94,,,23,0.03246753247
0.7792207792,0.03,0.23,1.02,,,24,0.03246753247
0.8116883117,0.12,0.43,0.31,,,25,0.03246753247
0.8441558442,0.06,0.27,0.98,,,26,0.03246753247
0.8766233766,0.06,0.32,1.01,,,27,0.03246753247
0.9090909091,0.14,0.46,0.59,,,28,0.03246753247
0.9415584416,-0.06,0.41,2,,,29,0.03246753247
0.974025974,0.07,0.51,1.05,,,30,0.03246753247
1.006493506,0.19,0.29,-0.86,,,31,0.03246753247
1.038961039,0.1,0.77,2,,,32,0.03246753247
1.071428571,0.11,0.78,1.23,,,33,0.03246753247
1.103896104,0.23,0.49,-0.63,,,34,0.03246753247
1.136363636,0.05,0.45,1.22,,,35,0.03246753247
1.168831169,0.28,0.68,-0.13,,,36,0.03246753247
1.201298701,0.09,0.55,0.98,,,37,0.03246753247
1.233766234,0.01,0.1,1.09,,,38,0.03246753247
1.266233766,0.19,0.59,-0.04,,,39,0.03246753247
1.298701299,0.17,0.39,0.52,,,40,0.03246753247
1.331168831,-0.01,0.39,2,,,41,0.03246753247
1.363636364,0.17,0.55,-0.04,,,42,0.03246753247
1.396103896,0.02,0.2,1.18,,,43,0.03246753247
1.428571429,0.07,0.26,0.1,,,44,0.03246753247
1.461038961,-0.04,0.39,2,,,45,0.03246753247
1.493506494,0.11,0.37,0.87,,,46,0.03246753247
1.525974026,0.13,0.41,0.49,,,47,0.03246753247
1.558441558,0.05,0.6,2,,,48,0.03246753247
1.590909091,0.09,0.23,0.76,,,49,0.03246753247
