time,Xa,Ya,Za,,,,
0.03225806452,0.05,0.45,0.84,,,1,0.03225806452
0.06451612903,0.02,0.48,1.15,,,2,0.03225806452
0.09677419355,0.05,0.43,0.55,,,3,0.03225806452
0.1290322581,0.04,0.44,0.55,,,4,0.03225806452
0.1612903226,0.02,0.49,1.09,,,5,0.03225806452
0.1935483871,0.04,0.43,0.72,,,6,0.03225806452
0.2258064516,0.05,0.41,0.57,,,7,0.03225806452
0.2580645161,0.02,0.44,1.01,,,8,0.03225806452
0.2903225806,0.02,0.41,0.62,,,9,0.03225806452
0.3225806452,0.04,0.45,0.82,,,10,0.03225806452
0.3548387097,0.05,0.41,0.69,,,11,0.03225806452
0.3870967742,0.03,0.43,0.83,,,12,0.03225806452
0.4193548387,0.06,0.48,0.61,,,13,0.03225806452
0.4516129032,0.02,0.39,0.66,,,14,0.03225806452
0.4838709677,0.02,0.43,1,,,15,0.03225806452
0.5161290323,0.04,0.49,0.77,,,16,0.03225806452
0.5483870968,0.04,0.39,0.6,,,17,0.03225806452
0.5806451613,0.04,0.45,0.56,,,18,0.03225806452
0.6129032258,0.04,0.54,1.23,,,19,0.03225806452
0.6451612903,0.04,0.52,0.99,,,20,0.03225806452
0.6774193548,0.04,0.39,0.55,,,21,0.03225806452
0.7096774194,0.03,0.46,0.89,,,22,0.03225806452
0.7419354839,0.05,0.43,0.75,,,23,0.03225806452
0.7741935484,0.04,0.44,0.71,,,24,0.03225806452
0.8064516129,0.03,0.45,0.87,,,25,0.03225806452
0.8387096774,0.04,0.48,1.01,,,26,0.03225806452
0.8709677419,0.06,0.49,0.73,,,27,0.03225806452
0.9032258065,0.04,0.47,0.56,,,28,0.03225806452
0.935483871,0.05,0.48,0.71,,,29,0.03225806452
0.9677419355,0.06,0.52,0.78,,,30,0.03225806452
1,0.02,0.47,0.98,,,31,0.03225806452
1.032258065,0.02,0.42,0.86,,,32,0.03225806452
1.064516129,0.05,0.49,0.75,,,33,0.03225806452
1.096774194,0.03,0.48,0.96,,,34,0.03225806452
1.129032258,0.01,0.44,1.03,,,35,0.03225806452
1.161290323,0.06,0.44,0.59,,,36,0.03225806452
1.193548387,0.05,0.52,0.92,,,37,0.03225806452
1.225806452,0.03,0.47,0.82,,,38,0.03225806452
1.258064516,0.05,0.45,0.71,,,39,0.03225806452
1.290322581,0.03,0.48,0.88,,,40,0.03225806452
1.322580645,0.04,0.49,0.88,,,41,0.03225806452
1.35483871,0.05,0.48,0.6,,,42,0.03225806452
1.387096774,0.02,0.46,1.14,,,43,0.03225806452
1.419354839,0.06,0.43,0.53,,,44,0.03225806452
1.451612903,0.01,0.47,1.16,,,45,0.03225806452
1.483870968,0.06,0.51,0.88,,,46,0.03225806452
1.516129032,0.05,0.47,0.58,,,47,0.03225806452
1.548387097,0.04,0.44,0.53,,,48,0.03225806452
1.580645161,0.04,0.45,0.74,,,49,0.03225806452
1.612903226,0.03,0.49,1.05,,,50,0.03225806452
1.64516129,0.04,0.46,0.75,,,51,0.03225806452
1.677419355,0.03,0.42,0.77,,,52,0.03225806452
1.709677419,0.04,0.44,0.79,,,53,0.03225806452
1.741935484,0.02,0.38,0.74,,,54,0.03225806452
1.774193548,0.05,0.5,0.79,,,55,0.03225806452
1.806451613,0.02,0.43,0.99,,,56,0.03225806452
1.838709677,0,0.41,1.04,,,57,0.03225806452
1.870967742,0.06,0.52,0.74,,,58,0.03225806452
1.903225806,0.08,0.51,0.48,,,59,0.03225806452
1.935483871,0,0.41,1.06,,,60,0.03225806452
1.967741935,0.05,0.47,0.66,,,61,0.03225806452
2,0.08,0.47,0.64,,,62,0.03225806452
2.032258065,0.01,0.44,1.11,,,63,0.03225806452
2.064516129,0.02,0.46,0.87,,,64,0.03225806452
2.096774194,0.07,0.5,0.74,,,65,0.03225806452
2.129032258,0.07,0.48,0.6,,,66,0.03225806452
2.161290323,0.04,0.45,0.75,,,67,0.03225806452
2.193548387,0.05,0.5,0.79,,,68,0.03225806452
2.225806452,0.03,0.47,0.94,,,69,0.03225806452
2.258064516,0.06,0.48,0.75,,,70,0.03225806452
2.290322581,0.04,0.46,0.85,,,71,0.03225806452
2.322580645,0.04,0.47,0.82,,,72,0.03225806452
2.35483871,0.05,0.53,0.95,,,73,0.03225806452
2.387096774,0.05,0.45,0.59,,,74,0.03225806452
2.419354839,0.05,0.51,0.84,,,75,0.03225806452
2.451612903,0.04,0.52,0.83,,,76,0.03225806452
2.483870968,0.03,0.47,0.89,,,77,0.03225806452
2.516129032,0.04,0.4,0.66,,,78,0.03225806452
2.548387097,0.04,0.49,0.76,,,79,0.03225806452
2.580645161,0.02,0.52,1.04,,,80,0.03225806452
2.612903226,0.04,0.51,0.91,,,81,0.03225806452
2.64516129,0.04,0.45,0.42,,,82,0.03225806452
2.677419355,0.05,0.46,0.62,,,83,0.03225806452
2.709677419,0.05,0.5,0.91,,,84,0.03225806452
2.741935484,0.05,0.47,0.73,,,85,0.03225806452
2.774193548,0.04,0.47,0.84,,,86,0.03225806452
2.806451613,0.04,0.48,0.82,,,87,0.03225806452
2.838709677,0.06,0.48,0.66,,,88,0.03225806452
2.870967742,0.04,0.4,0.72,,,89,0.03225806452
2.903225806,0.04,0.49,0.89,,,90,0.03225806452
2.935483871,0.04,0.53,0.97,,,91,0.03225806452
2.967741935,0.06,0.48,0.75,,,92,0.03225806452
3,0.05,0.47,0.65,,,93,0.03225806452
3.032258065,0.03,0.48,0.9,,,94,0.03225806452
3.064516129,0.04,0.42,0.5,,,95,0.03225806452
3.096774194,0.05,0.44,0.92,,,96,0.03225806452
3.129032258,0.03,0.48,0.89,,,97,0.03225806452
3.161290323,0.04,0.43,0.82,,,98,0.03225806452
3.193548387,0.05,0.44,0.61,,,99,0.03225806452
3.225806452,0.04,0.5,0.86,,,100,0.03225806452
3.258064516,0.04,0.5,0.93,,,101,0.03225806452
3.290322581,0.05,0.45,0.69,,,102,0.03225806452
3.322580645,0.03,0.5,1.02,,,103,0.03225806452
3.35483871,0.02,0.48,0.92,,,104,0.03225806452
3.387096774,0.05,0.49,0.54,,,105,0.03225806452
3.419354839,0.04,0.45,0.92,,,106,0.03225806452
3.451612903,0.05,0.48,0.89,,,107,0.03225806452
3.483870968,0.05,0.5,0.95,,,108,0.03225806452
3.516129032,0.02,0.56,0.98,,,109,0.03225806452
3.548387097,0.05,0.39,0.66,,,110,0.03225806452
3.580645161,0.05,0.47,0.84,,,111,0.03225806452
3.612903226,0.02,0.5,0.93,,,112,0.03225806452
3.64516129,0.03,0.46,0.74,,,113,0.03225806452
3.677419355,0.06,0.51,0.7,,,114,0.03225806452
3.709677419,0.03,0.43,0.7,,,115,0.03225806452
3.741935484,0.02,0.39,0.86,,,116,0.03225806452
3.774193548,0.07,0.54,0.73,,,117,0.03225806452
3.806451613,0.02,0.42,0.82,,,118,0.03225806452
3.838709677,0.01,0.43,1.14,,,119,0.03225806452
3.870967742,0.05,0.52,0.78,,,120,0.03225806452
3.903225806,0.02,0.37,0.87,,,121,0.03225806452
3.935483871,0.02,0.4,0.91,,,122,0.03225806452
3.967741935,0.07,0.45,0.57,,,123,0.03225806452
4,0.04,0.45,0.71,,,124,0.03225806452
4.032258065,0.04,0.48,0.96,,,125,0.03225806452
4.064516129,0.04,0.45,0.8,,,126,0.03225806452
4.096774194,0.04,0.41,0.54,,,127,0.03225806452
4.129032258,0.05,0.46,0.67,,,128,0.03225806452
4.161290323,0.04,0.5,1.1,,,129,0.03225806452
4.193548387,0.04,0.45,0.77,,,130,0.03225806452
4.225806452,0.04,0.45,0.7,,,131,0.03225806452
4.258064516,0.05,0.5,0.7,,,132,0.03225806452
4.290322581,0.03,0.46,0.94,,,133,0.03225806452
4.322580645,0.05,0.5,0.62,,,134,0.03225806452
4.35483871,0.05,0.52,0.77,,,135,0.03225806452
4.387096774,0.03,0.48,0.9,,,136,0.03225806452
4.419354839,0.04,0.47,0.73,,,137,0.03225806452
4.451612903,0.04,0.45,0.68,,,138,0.03225806452
4.483870968,0.03,0.47,0.91,,,139,0.03225806452
4.516129032,0.03,0.43,0.66,,,140,0.03225806452
4.548387097,0.05,0.52,0.91,,,141,0.03225806452
4.580645161,0.05,0.44,0.65,,,142,0.03225806452
4.612903226,0.03,0.44,0.89,,,143,0.03225806452
4.64516129,0.03,0.39,0.72,,,144,0.03225806452
4.677419355,0.04,0.51,0.91,,,145,0.03225806452
4.709677419,0.07,0.5,0.74,,,146,0.03225806452
4.741935484,0.04,0.45,0.81,,,147,0.03225806452
4.774193548,0.03,0.46,0.87,,,148,0.03225806452
4.806451613,0.04,0.49,0.89,,,149,0.03225806452
4.838709677,0.03,0.51,0.95,,,150,0.03225806452
4.870967742,0.06,0.5,0.76,,,151,0.03225806452
4.903225806,0.04,0.39,0.8,,,152,0.03225806452
4.935483871,0.04,0.45,0.82,,,153,0.03225806452
4.967741935,0.04,0.45,0.88,,,154,0.03225806452
5,0.04,0.45,0.83,,,155,0.03225806452
5.032258065,0.05,0.45,0.59,,,156,0.03225806452
5.064516129,0.04,0.51,1.02,,,157,0.03225806452
5.096774194,0.02,0.45,0.8,,,158,0.03225806452
5.129032258,0.05,0.5,0.79,,,159,0.03225806452
5.161290323,0.02,0.46,0.81,,,160,0.03225806452
5.193548387,0.02,0.45,0.87,,,161,0.03225806452
5.225806452,0.06,0.46,0.55,,,162,0.03225806452
5.258064516,0.04,0.47,0.79,,,163,0.03225806452
5.290322581,0.04,0.43,0.77,,,164,0.03225806452
5.322580645,0.02,0.47,0.82,,,165,0.03225806452
5.35483871,0.04,0.46,0.65,,,166,0.03225806452
5.387096774,0.04,0.46,0.88,,,167,0.03225806452
5.419354839,0.02,0.47,1.02,,,168,0.03225806452
5.451612903,0.04,0.43,0.59,,,169,0.03225806452
5.483870968,0.05,0.45,0.61,,,170,0.03225806452
5.516129032,0.04,0.52,0.87,,,171,0.03225806452
5.548387097,0.01,0.46,1.05,,,172,0.03225806452
5.580645161,0.04,0.44,0.6,,,173,0.03225806452
5.612903226,0.05,0.47,0.68,,,174,0.03225806452
5.64516129,0.04,0.5,1.02,,,175,0.03225806452
5.677419355,0.07,0.47,0.61,,,176,0.03225806452
5.709677419,0.05,0.46,0.82,,,177,0.03225806452
5.741935484,0.02,0.44,0.84,,,178,0.03225806452
5.774193548,0.03,0.47,0.89,,,179,0.03225806452
5.806451613,0.05,0.46,0.63,,,180,0.03225806452
5.838709677,0.05,0.44,0.66,,,181,0.03225806452
5.870967742,0.02,0.43,0.88,,,182,0.03225806452
