time,Xa,Ya,Za,,,,
0.03225806452,0.09,0.37,0.24,,,1,0.03225806452
0.06451612903,0.05,0.42,1.11,,,2,0.03225806452
0.09677419355,0.1,0.63,0.85,,,3,0.03225806452
0.1290322581,0.1,0.61,0.94,,,4,0.03225806452
0.1612903226,0.15,0.68,1.11,,,5,0.03225806452
0.1935483871,0.12,0.68,0.78,,,6,0.03225806452
0.2258064516,0.01,0.34,1.23,,,7,0.03225806452
0.2580645161,0.07,0.44,0.74,,,8,0.03225806452
0.2903225806,0.12,0.62,0.97,,,9,0.03225806452
0.3225806452,0.1,0.54,1.14,,,10,0.03225806452
0.3548387097,0.06,0.36,0.8,,,11,0.03225806452
0.3870967742,0.08,0.55,0.83,,,12,0.03225806452
0.4193548387,0.07,0.51,0.61,,,13,0.03225806452
0.4516129032,0.09,0.42,0.55,,,14,0.03225806452
0.4838709677,0.12,0.93,1.87,,,15,0.03225806452
0.5161290323,0.19,0.78,0.75,,,16,0.03225806452
0.5483870968,0.11,0.62,0.63,,,17,0.03225806452
0.5806451613,0.03,0.55,1.1,,,18,0.03225806452
0.6129032258,0.09,0.3,0.29,,,19,0.03225806452
0.6451612903,0.07,0.37,0.96,,,20,0.03225806452
0.6774193548,0.02,0.45,1.1,,,21,0.03225806452
0.7096774194,0.09,0.47,0.48,,,22,0.03225806452
0.7419354839,0.11,0.53,1,,,23,0.03225806452
0.7741935484,0.07,0.42,0.39,,,24,0.03225806452
0.8064516129,0.06,0.51,0.83,,,25,0.03225806452
0.8387096774,0.03,0.45,1.23,,,26,0.03225806452
0.8709677419,0,0.36,0.84,,,27,0.03225806452
0.9032258065,0.12,0.39,-0.05,,,28,0.03225806452
0.935483871,0.06,0.43,0.64,,,29,0.03225806452
0.9677419355,0.09,0.47,0.79,,,30,0.03225806452
1,0.13,0.43,0.34,,,31,0.03225806452
1.032258065,0.05,0.47,1.07,,,32,0.03225806452
1.064516129,0.08,0.59,1.3,,,33,0.03225806452
1.096774194,0.08,0.41,0.52,,,34,0.03225806452
1.129032258,0.08,0.41,0.92,,,35,0.03225806452
1.161290323,0.05,0.47,0.93,,,36,0.03225806452
1.193548387,0.1,0.59,0.82,,,37,0.03225806452
1.225806452,0.06,0.37,0.59,,,38,0.03225806452
1.258064516,0,0.34,1.02,,,39,0.03225806452
1.290322581,0.05,0.38,0.89,,,40,0.03225806452
1.322580645,0.12,0.39,0.14,,,41,0.03225806452
1.35483871,0.06,0.54,0.95,,,42,0.03225806452
1.387096774,0.08,0.55,0.91,,,43,0.03225806452
1.419354839,0.12,0.5,0.69,,,44,0.03225806452
1.451612903,0.04,0.51,1.03,,,45,0.03225806452
1.483870968,0.06,0.51,0.89,,,46,0.03225806452
1.516129032,0.13,0.45,0.07,,,47,0.03225806452
1.548387097,0.05,0.6,1.42,,,48,0.03225806452
1.580645161,0.05,0.41,0.8,,,49,0.03225806452
1.612903226,0.05,0.23,0.41,,,50,0.03225806452
1.64516129,0.03,0.23,0.93,,,51,0.03225806452
1.677419355,0.07,0.32,0.89,,,52,0.03225806452
1.709677419,0.09,0.49,1,,,53,0.03225806452
1.741935484,0.06,0.52,0.75,,,54,0.03225806452
1.774193548,0.1,0.49,0.51,,,55,0.03225806452
1.806451613,0.06,0.43,0.82,,,56,0.03225806452
1.838709677,0.11,0.54,0.59,,,57,0.03225806452
1.870967742,0.05,0.55,0.86,,,58,0.03225806452
1.903225806,0.07,0.65,1.73,,,59,0.03225806452
1.935483871,0.17,0.5,-0.02,,,60,0.03225806452
1.967741935,0.01,0.47,1.33,,,61,0.03225806452
2,0.06,0.33,0.34,,,62,0.03225806452
2.032258065,0.1,0.39,0.52,,,63,0.03225806452
2.064516129,0.08,0.61,0.98,,,64,0.03225806452
2.096774194,0.07,0.41,0.44,,,65,0.03225806452
2.129032258,0.04,0.36,1.02,,,66,0.03225806452
2.161290323,0.07,0.37,0.68,,,67,0.03225806452
2.193548387,0.05,0.39,0.58,,,68,0.03225806452
2.225806452,0.03,0.42,1,,,69,0.03225806452
2.258064516,0.07,0.35,0.54,,,70,0.03225806452
2.290322581,0.09,0.36,0.26,,,71,0.03225806452
2.322580645,0.09,0.65,1.06,,,72,0.03225806452
2.35483871,0.09,0.6,0.79,,,73,0.03225806452
2.387096774,0.11,0.5,0.36,,,74,0.03225806452
