time,Xa,Ya,Za,,,,
0.03239740821,0.12,0.35,0.02,,,1,0.03239740821
0.06479481641,0.06,0.29,0.85,,,2,0.03239740821
0.09719222462,0.07,0.56,0.93,,,3,0.03239740821
0.1295896328,0.13,0.44,0.63,,,4,0.03239740821
0.161987041,0.16,0.66,0.44,,,5,0.03239740821
0.1943844492,0.12,0.91,2,,,6,0.03239740821
0.2267818575,0.1,0.59,0.93,,,7,0.03239740821
0.2591792657,0.14,0.25,-0.27,,,8,0.03239740821
0.2915766739,0.1,0.33,0.19,,,9,0.03239740821
0.3239740821,0.03,0.61,1.57,,,10,0.03239740821
0.3563714903,0.05,0.58,1.14,,,11,0.03239740821
0.3887688985,0.09,0.4,0.67,,,12,0.03239740821
0.4211663067,0.09,0.41,0.5,,,13,0.03239740821
0.4535637149,0.1,0.73,1.98,,,14,0.03239740821
0.4859611231,0.14,0.68,1.16,,,15,0.03239740821
0.5183585313,0.1,0.27,0.47,,,16,0.03239740821
0.5507559395,0.06,0.46,1.66,,,17,0.03239740821
0.5831533477,0.18,0.37,-0.16,,,18,0.03239740821
0.6155507559,0.05,0.56,1.65,,,19,0.03239740821
0.6479481641,0.14,0.58,0.59,,,20,0.03239740821
0.6803455724,0.17,0.53,-0.05,,,21,0.03239740821
0.7127429806,0.06,0.31,0.73,,,22,0.03239740821
0.7451403888,0.14,0.77,0.61,,,23,0.03239740821
0.777537797,0.13,0.54,0.53,,,24,0.03239740821
0.8099352052,0.01,0.3,0.62,,,25,0.03239740821
0.8423326134,0,0.67,2,,,26,0.03239740821
0.8747300216,0.08,0.15,-0.07,,,27,0.03239740821
0.9071274298,-0.03,0.25,1.3,,,28,0.03239740821
0.939524838,0.09,0.51,1.46,,,29,0.03239740821
0.9719222462,0.05,0.45,1.03,,,30,0.03239740821
1.004319654,0.14,0.36,0.24,,,31,0.03239740821
1.036717063,0.04,0.6,1.98,,,32,0.03239740821
1.069114471,0.08,0.54,1.11,,,33,0.03239740821
1.101511879,0.15,0.39,0.58,,,34,0.03239740821
1.133909287,0.08,0.41,1.3,,,35,0.03239740821
1.166306695,0.08,0.41,0.5,,,36,0.03239740821
1.198704104,0.11,0.58,0.72,,,37,0.03239740821
1.231101512,0.1,0.23,0.37,,,38,0.03239740821
1.26349892,0.01,0.36,0.99,,,39,0.03239740821
1.295896328,0.07,0.37,0.43,,,40,0.03239740821
1.328293737,0.09,0.41,0.6,,,41,0.03239740821
1.360691145,0.07,0.51,0.8,,,42,0.03239740821
1.393088553,0.05,0.31,0.57,,,43,0.03239740821
1.425485961,0.11,0.33,0.16,,,44,0.03239740821
1.457883369,0.05,0.3,0.69,,,45,0.03239740821
1.490280778,0.14,0.76,1.57,,,46,0.03239740821
1.522678186,0.17,0.7,0.56,,,47,0.03239740821
1.555075594,0.09,0.62,1.43,,,48,0.03239740821
1.587473002,0.25,0.5,-0.28,,,49,0.03239740821
1.61987041,0.08,0.46,1,,,50,0.03239740821
1.652267819,0.02,0.32,0.73,,,51,0.03239740821
1.684665227,0.07,0.28,0.02,,,52,0.03239740821
1.717062635,-0.02,0.32,1.21,,,53,0.03239740821
1.749460043,0.07,0.37,0.73,,,54,0.03239740821
1.781857451,0.05,0.56,0.93,,,55,0.03239740821
1.81425486,0.11,0.56,0.86,,,56,0.03239740821
1.846652268,0.14,0.38,-0.12,,,57,0.03239740821
1.879049676,0.01,0.3,1.29,,,58,0.03239740821
1.911447084,-0.02,0.43,1.62,,,59,0.03239740821
1.943844492,0.21,0.57,0.42,,,60,0.03239740821
1.976241901,0.06,0.8,2,,,61,0.03239740821
2.008639309,0.11,0.57,1.07,,,62,0.03239740821
2.041036717,0.15,0.6,0.55,,,63,0.03239740821
2.073434125,0,0.41,1,,,64,0.03239740821
2.105831533,0.1,0.34,0.35,,,65,0.03239740821
2.138228942,0.16,0.16,-0.23,,,66,0.03239740821
2.17062635,0.06,0.4,0.59,,,67,0.03239740821
2.203023758,0.07,0.33,0.81,,,68,0.03239740821
2.235421166,0.11,0.2,-0.17,,,69,0.03239740821
2.267818575,0.11,0.8,1.27,,,70,0.03239740821
2.300215983,0.11,0.53,1.27,,,71,0.03239740821
2.332613391,0.09,0.36,1.3,,,72,0.03239740821
2.365010799,0.04,0.32,0.65,,,73,0.03239740821
2.397408207,0.14,0.49,0.67,,,74,0.03239740821
2.429805616,0.04,0.29,0.33,,,75,0.03239740821
2.462203024,0.13,0.48,0.75,,,76,0.03239740821
2.494600432,0.08,0.08,-0.29,,,77,0.03239740821
2.52699784,0.16,0.68,0.9,,,78,0.03239740821
2.559395248,0.08,0.63,1.23,,,79,0.03239740821
2.591792657,0.12,0.45,0.75,,,80,0.03239740821
2.624190065,0.12,0.66,1.69,,,81,0.03239740821
2.656587473,0.13,0.41,0.27,,,82,0.03239740821
2.688984881,0.05,0.4,0.87,,,83,0.03239740821
2.721382289,0.04,0.38,1.01,,,84,0.03239740821
2.753779698,0.14,0.59,0.8,,,85,0.03239740821
2.786177106,0.04,0.32,1,,,86,0.03239740821
2.818574514,0.13,0.25,0.33,,,87,0.03239740821
2.850971922,0.13,0.78,2,,,88,0.03239740821
2.88336933,0.15,0.87,1.57,,,89,0.03239740821
2.915766739,0.09,0.21,0.02,,,90,0.03239740821
2.948164147,0.02,0.41,1.43,,,91,0.03239740821
2.980561555,0.12,0.55,1.29,,,92,0.03239740821
3.012958963,0.14,0.49,0.38,,,93,0.03239740821
3.045356371,0.04,0.51,1.63,,,94,0.03239740821
3.07775378,0.16,0.26,0.27,,,95,0.03239740821
3.110151188,0.06,0.59,1.78,,,96,0.03239740821
3.142548596,0.12,0.66,1.78,,,97,0.03239740821
3.174946004,0.1,0.37,0.41,,,98,0.03239740821
3.207343413,0.11,0.37,0.34,,,99,0.03239740821
3.239740821,0.11,0.4,0.28,,,100,0.03239740821
3.272138229,0,0.37,0.89,,,101,0.03239740821
3.304535637,0.08,0.2,0.36,,,102,0.03239740821
3.336933045,0.07,0.31,0.81,,,103,0.03239740821
3.369330454,0.05,0.49,0.59,,,104,0.03239740821
3.401727862,0.08,0.3,0.68,,,105,0.03239740821
3.43412527,0.08,0.5,0.83,,,106,0.03239740821
3.466522678,0.1,0.56,0.93,,,107,0.03239740821
3.498920086,0.08,0.54,0.95,,,108,0.03239740821
3.531317495,0.14,0.56,0.51,,,109,0.03239740821
3.563714903,-0.03,0.46,1.69,,,110,0.03239740821
3.596112311,0.09,0.52,1.4,,,111,0.03239740821
3.628509719,0.13,0.37,0.29,,,112,0.03239740821
3.660907127,0.05,0.54,1.64,,,113,0.03239740821
3.693304536,0.06,0.45,0.77,,,114,0.03239740821
3.725701944,0.11,0.78,1.76,,,115,0.03239740821
3.758099352,0.03,0.21,0.59,,,116,0.03239740821
3.79049676,-0.06,0.17,0.96,,,117,0.03239740821
3.822894168,0.12,0.19,0.49,,,118,0.03239740821
3.855291577,0.1,0.42,0.64,,,119,0.03239740821
3.887688985,-0.03,0.39,1.7,,,120,0.03239740821
3.920086393,0.07,0.5,0.79,,,121,0.03239740821
3.952483801,0.16,0.66,0.94,,,122,0.03239740821
3.98488121,0.02,0.16,0.71,,,123,0.03239740821
4.017278618,0.04,0.36,1.33,,,124,0.03239740821
4.049676026,0.11,0.53,0.8,,,125,0.03239740821
4.082073434,0.13,0.73,0.57,,,126,0.03239740821
4.114470842,0.09,0.43,1.11,,,127,0.03239740821
4.146868251,0.09,0.54,0.93,,,128,0.03239740821
4.179265659,0.11,0.54,0.69,,,129,0.03239740821
4.211663067,0.14,0.45,0.45,,,130,0.03239740821
4.244060475,0.09,0.5,1.04,,,131,0.03239740821
4.276457883,0.17,0.68,0.54,,,132,0.03239740821
4.308855292,0.09,0.67,0.91,,,133,0.03239740821
4.3412527,0.13,0.35,0.21,,,134,0.03239740821
4.373650108,0.13,0.55,0.42,,,135,0.03239740821
4.406047516,0.08,0.66,1.27,,,136,0.03239740821
4.438444924,0.14,0.34,0.02,,,137,0.03239740821
4.470842333,0.07,0.41,0.85,,,138,0.03239740821
4.503239741,0.09,0.6,0.8,,,139,0.03239740821
4.535637149,0.2,0.74,1.06,,,140,0.03239740821
4.568034557,0.11,0.5,0.84,,,141,0.03239740821
4.600431965,0.05,0.37,1.01,,,142,0.03239740821
4.632829374,0.18,0.48,-0.16,,,143,0.03239740821
