time,Xa,Ya,Za,,,,
0.03303964758,0.41,1.06,1.92,,,1,0.03303964758
0.06607929515,0.43,0.25,-0.75,,,2,0.03303964758
0.09911894273,0.43,0.49,1.46,,,3,0.03303964758
0.1321585903,0.34,0.71,-0.81,,,4,0.03303964758
0.1651982379,0.25,0.84,2,,,5,0.03303964758
0.1982378855,0.16,0.07,-2,,,6,0.03303964758
0.231277533,0.26,-0.19,-1.23,,,7,0.03303964758
0.2643171806,0.32,0.02,-1.49,,,8,0.03303964758
0.2973568282,0.36,0.32,0.2,,,9,0.03303964758
0.3303964758,-0.24,0.33,2,,,10,0.03303964758
0.3634361233,0.32,0.34,-0.79,,,11,0.03303964758
0.3964757709,0.58,0.23,-2,,,12,0.03303964758
0.4295154185,0.47,0.23,-0.51,,,13,0.03303964758
0.4625550661,0.15,0.82,2,,,14,0.03303964758
0.4955947137,0.86,-0.25,-2,,,15,0.03303964758
0.5286343612,0.39,0.58,1.19,,,16,0.03303964758
0.5616740088,-0.12,0.25,2,,,17,0.03303964758
0.5947136564,0.17,-0.08,-0.05,,,18,0.03303964758
0.627753304,0.25,0.05,0.56,,,19,0.03303964758
0.6607929515,0.45,0.3,-1.08,,,20,0.03303964758
0.6938325991,0.37,0.91,1.72,,,21,0.03303964758
0.7268722467,-0.31,1.6,2,,,22,0.03303964758
0.7599118943,0.35,0.3,-0.46,,,23,0.03303964758
0.7929515419,0.18,0.73,0.83,,,24,0.03303964758
0.8259911894,0.06,1,2,,,25,0.03303964758
0.859030837,0.28,-0.04,-1.29,,,26,0.03303964758
0.8920704846,-0.05,1.48,2,,,27,0.03303964758
0.9251101322,0.45,-0.04,-1.63,,,28,0.03303964758
0.9581497797,0.31,0.61,0.66,,,29,0.03303964758
0.9911894273,-0.06,0.71,2,,,30,0.03303964758
1.024229075,0.02,-0.14,0.04,,,31,0.03303964758
1.057268722,0.13,0.55,1.92,,,32,0.03303964758
1.09030837,0.29,0.21,-1.07,,,33,0.03303964758
1.123348018,0.11,0.41,1.59,,,34,0.03303964758
1.156387665,0.39,0.44,-0.12,,,35,0.03303964758
1.189427313,0.21,0.74,1.67,,,36,0.03303964758
1.22246696,0.8,0.17,-2,,,37,0.03303964758
1.255506608,0.3,-0.42,-2,,,38,0.03303964758
1.288546256,0.66,0.11,-2,,,39,0.03303964758
1.321585903,0.17,0.71,0.35,,,40,0.03303964758
1.354625551,0.09,1,2,,,41,0.03303964758
1.387665198,0.4,0.14,-0.37,,,42,0.03303964758
1.420704846,-0.22,1.25,2,,,43,0.03303964758
1.453744493,-0.16,0.73,2,,,44,0.03303964758
1.486784141,0.34,-0.05,0.03,,,45,0.03303964758
1.519823789,0.43,-0.34,-2,,,46,0.03303964758
1.552863436,0.19,0,-1.65,,,47,0.03303964758
1.585903084,0.46,-0.04,-1.32,,,48,0.03303964758
1.618942731,0.59,-0.14,-2,,,49,0.03303964758
1.651982379,-0.2,0.86,2,,,50,0.03303964758
