time,Xa,Ya,Za,,,,,,,
0.03669724771,-0.91,0.08,0.1,,,,-1,-0.1,1,0.03669724771
0.07339449541,-1.16,0.17,0.14,,,,-1,-0.14,2,0.03669724771
0.1100917431,-0.97,0.2,0.14,,,,-1,-0.14,3,0.03669724771
0.1467889908,-0.91,0.08,0.1,,,,-1,-0.1,4,0.03669724771
0.1834862385,-1.16,0.17,0.14,,,,-1,-0.14,5,0.03669724771
0.2201834862,-0.97,0.2,0.14,,,,-1,-0.14,6,0.03669724771
0.2568807339,-0.91,0.08,0.1,,,,-1,-0.1,7,0.03669724771
0.2935779817,-1.16,0.17,0.14,,,,-1,-0.14,8,0.03669724771
0.3302752294,-0.97,0.2,0.14,,,,-1,-0.14,9,0.03669724771
0.3669724771,-1.06,0.12,0.15,,,,-1,-0.15,10,0.03669724771
0.4036697248,-1.06,0.12,0.15,,,,-1,-0.15,11,0.03669724771
0.4403669725,-1.08,0.14,0.13,,,,-1,-0.13,12,0.03669724771
0.4770642202,-1.01,0.12,0.15,,,,-1,-0.15,13,0.03669724771
0.5137614679,-0.92,0.17,0.15,,,,-1,-0.15,14,0.03669724771
0.5504587156,-1.04,0.09,0.09,,,,-1,-0.09,15,0.03669724771
0.5871559633,-0.89,0.12,0.09,,,,-1,-0.09,16,0.03669724771
0.623853211,-1.04,0.16,0.16,,,,-1,-0.16,17,0.03669724771
0.6605504587,-0.91,0.15,0.15,,,,-1,-0.15,18,0.03669724771
0.6972477064,-0.91,0.16,0.16,,,,-1,-0.16,19,0.03669724771
0.7339449541,-1.13,0.12,0.08,,,,-1,-0.08,20,0.03669724771
0.7706422018,-0.89,0.14,0.12,,,,-1,-0.12,21,0.03669724771
0.8073394495,-1.18,0.11,0.11,,,,-1,-0.11,22,0.03669724771
0.8440366972,-0.98,0.15,0.15,,,,-1,-0.15,23,0.03669724771
0.880733945,-1.16,0.12,0.12,,,,-1,-0.12,24,0.03669724771
0.9174311927,-1.13,0.19,0.17,,,,-1,-0.17,25,0.03669724771
0.9541284404,-1.02,0.18,0.13,,,,-1,-0.13,26,0.03669724771
0.9908256881,-0.97,0.19,0.16,,,,-1,-0.16,27,0.03669724771
1.027522936,-1.08,0.12,0.1,,,,-1,-0.1,28,0.03669724771
1.064220183,-1.09,0.12,0.1,,,,-1,-0.1,29,0.03669724771
1.100917431,-0.96,0.14,0.12,,,,-1,-0.12,30,0.03669724771
1.137614679,-1.14,0.16,0.14,,,,-1,-0.14,31,0.03669724771
1.174311927,-1.16,0.09,0.1,,,,-1,-0.1,32,0.03669724771
1.211009174,-1.02,0.23,0.18,,,,-1,-0.18,33,0.03669724771
1.247706422,-1.12,0.17,0.16,,,,-1,-0.16,34,0.03669724771
1.28440367,-0.9,0.11,0.09,,,,-1,-0.09,35,0.03669724771
1.321100917,-0.98,0.12,0.13,,,,-1,-0.13,36,0.03669724771
1.357798165,-0.88,0.16,0.18,,,,-1,-0.18,37,0.03669724771
1.394495413,-1.11,0.13,0.15,,,,-1,-0.15,38,0.03669724771
1.431192661,-1.06,0.14,0.14,,,,-1,-0.14,39,0.03669724771
1.467889908,-0.96,0.13,0.13,,,,-1,-0.13,40,0.03669724771
1.504587156,-0.95,0.2,0.14,,,,-1,-0.14,41,0.03669724771
1.541284404,-1.14,0.08,0.08,,,,-1,-0.08,42,0.03669724771
1.577981651,-0.98,0.1,0.1,,,,-1,-0.1,43,0.03669724771
1.614678899,-1.07,0.19,0.13,,,,-1,-0.13,44,0.03669724771
1.651376147,-1.1,0.16,0.13,,,,-1,-0.13,45,0.03669724771
1.688073394,-0.94,0.15,0.18,,,,-1,-0.18,46,0.03669724771
1.724770642,-0.98,0.14,0.11,,,,-1,-0.11,47,0.03669724771
1.76146789,-0.86,0.17,0.16,,,,-1,-0.16,48,0.03669724771
1.798165138,-1.15,0.09,0.09,,,,-1,-0.09,49,0.03669724771
1.834862385,-1.04,0.16,0.14,,,,-1,-0.14,50,0.03669724771
1.871559633,-1.15,0.18,0.15,,,,-1,-0.15,51,0.03669724771
1.908256881,-1.16,0.12,0.12,,,,-1,-0.12,52,0.03669724771
1.944954128,-1.05,0.14,0.13,,,,-1,-0.13,53,0.03669724771
1.981651376,-1.05,0.13,0.16,,,,-1,-0.16,54,0.03669724771
2.018348624,-1,0.14,0.14,,,,-1,-0.14,55,0.03669724771
2.055045872,-0.89,0.15,0.11,,,,-1,-0.11,56,0.03669724771
2.091743119,-1.08,0.17,0.14,,,,-1,-0.14,57,0.03669724771
2.128440367,-0.84,0.15,0.18,,,,-1,-0.18,58,0.03669724771
2.165137615,-1.09,0.14,0.12,,,,-1,-0.12,59,0.03669724771
2.201834862,-0.97,0.11,0.14,,,,-1,-0.14,60,0.03669724771
2.23853211,-1.16,0.15,0.11,,,,-1,-0.11,61,0.03669724771
2.275229358,-0.98,0.14,0.13,,,,-1,-0.13,62,0.03669724771
2.311926606,-0.92,0.16,0.13,,,,-1,-0.13,63,0.03669724771
2.348623853,-0.91,0.14,0.12,,,,-1,-0.12,64,0.03669724771
2.385321101,-1.07,0.12,0.13,,,,-1,-0.13,65,0.03669724771
2.422018349,-1.09,0.13,0.12,,,,-1,-0.12,66,0.03669724771
2.458715596,-1.06,0.14,0.12,,,,-1,-0.12,67,0.03669724771
2.495412844,-0.91,0.14,0.11,,,,-1,-0.11,68,0.03669724771
2.532110092,-1.05,0.16,0.13,,,,-1,-0.13,69,0.03669724771
2.568807339,-0.93,0.11,0.13,,,,-1,-0.13,70,0.03669724771
2.605504587,-1.03,0.2,0.16,,,,-1,-0.16,71,0.03669724771
2.642201835,-0.89,0.14,0.14,,,,-1,-0.14,72,0.03669724771
2.678899083,-1.11,0.16,0.14,,,,-1,-0.14,73,0.03669724771
2.71559633,-1.11,0.12,0.09,,,,-1,-0.09,74,0.03669724771
2.752293578,-1.13,0.12,0.13,,,,-1,-0.13,75,0.03669724771
2.788990826,-1.32,0.21,0.12,,,,-1,-0.12,76,0.03669724771
2.825688073,-1.23,0.18,0.14,,,,-1,-0.14,77,0.03669724771
2.862385321,-1.02,0.17,0.16,,,,-1,-0.16,78,0.03669724771
2.899082569,-1.11,0.17,0.14,,,,-1,-0.14,79,0.03669724771
2.935779817,-1.01,0.14,0.14,,,,-1,-0.14,80,0.03669724771
2.972477064,-1.11,0.12,0.12,,,,-1,-0.12,81,0.03669724771
