Time,Xa,Ya,Za,,,,,,,,,,,
3.224568138,-0.05,-1,-0.21,,,,,,,,,,0.038387716,84
3.262955854,-0.16,-0.95,-0.12,,,,,,,,,,0.038387716,85
3.30134357,-0.03,-1.28,-0.2,,,,,,,,,,0.038387716,86
3.339731286,-0.11,-1.09,-0.14,,,,,,,,,,0.038387716,87
3.378119002,-0.09,-0.97,-0.18,,,,,,,,,,0.038387716,88
3.416506718,-0.02,-1.09,-0.19,,,,,,,,,,0.038387716,89
3.454894434,-0.11,-1.16,-0.17,,,,,,,,,,0.038387716,90
3.49328215,-0.05,-0.93,-0.27,,,,,,,,,,0.038387716,91
3.531669866,-0.13,-0.88,-0.17,,,,,,,,,,0.038387716,92
3.570057582,-0.05,-0.95,-0.2,,,,,,,,,,0.038387716,93
3.608445298,-0.18,-1.01,-0.19,,,,,,,,,,0.038387716,94
3.646833013,-0.11,-0.76,-0.27,,,,,,,,,,0.038387716,95
3.685220729,-0.1,-0.88,-0.26,,,,,,,,,,0.038387716,96
3.723608445,-0.02,-1.07,-0.15,,,,,,,,,,0.038387716,97
3.761996161,-0.12,-1.01,-0.18,,,,,,,,,,0.038387716,98
3.800383877,-0.11,-1.14,-0.12,,,,,,,,,,0.038387716,99
3.838771593,-0.05,-1.08,-0.11,,,,,,,,,,0.038387716,100
3.877159309,-0.16,-1.02,-0.17,,,,,,,,,,0.038387716,101
3.915547025,-0.11,-0.98,-0.21,,,,,,,,,,0.038387716,102
3.953934741,-0.01,-0.98,-0.21,,,,,,,,,,0.038387716,103
3.992322457,-0.1,-1.07,-0.18,,,,,,,,,,0.038387716,104
4.030710173,-0.16,-1.04,-0.18,,,,,,,,,,0.038387716,105
4.069097889,-0.09,-1.07,-0.19,,,,,,,,,,0.038387716,106
4.107485605,-0.17,-0.92,-0.17,,,,,,,,,,0.038387716,107
4.145873321,-0.18,-1.1,-0.12,,,,,,,,,,0.038387716,108
4.184261036,-0.13,-1,-0.16,,,,,,,,,,0.038387716,109
4.222648752,-0.08,-0.97,-0.21,,,,,,,,,,0.038387716,110
4.261036468,-0.04,-1.15,-0.17,,,,,,,,,,0.038387716,111
4.299424184,-0.04,-1.05,-0.2,,,,,,,,,,0.038387716,112
4.3378119,-0.13,-1.05,-0.2,,,,,,,,,,0.038387716,113
4.376199616,-0.1,-1.06,-0.07,,,,,,,,,,0.038387716,114
4.414587332,-0.2,-0.84,-0.27,,,,,,,,,,0.038387716,115
4.452975048,-0.13,-0.84,-0.26,,,,,,,,,,0.038387716,116
4.491362764,-0.09,-1.11,-0.15,,,,,,,,,,0.038387716,117
4.52975048,-0.1,-1.09,-0.22,,,,,,,,,,0.038387716,118
4.568138196,-0.08,-1.11,-0.12,,,,,,,,,,0.038387716,119
4.606525912,-0.1,-0.91,-0.26,,,,,,,,,,0.038387716,120
4.644913628,-0.12,-0.8,-0.28,,,,,,,,,,0.038387716,121
4.683301344,-0.08,-1.02,-0.15,,,,,,,,,,0.038387716,122
4.72168906,-0.07,-1.01,-0.17,,,,,,,,,,0.038387716,123
4.760076775,-0.14,-0.87,-0.25,,,,,,,,,,0.038387716,124
4.798464491,-0.09,-0.99,-0.18,,,,,,,,,,0.038387716,125
4.836852207,-0.09,-0.85,-0.16,,,,,,,,,,0.038387716,126
4.875239923,-0.07,-0.95,-0.21,,,,,,,,,,0.038387716,127
4.913627639,-0.02,-0.93,-0.27,,,,,,,,,,0.038387716,128
4.952015355,-0.11,-1,-0.19,,,,,,,,,,0.038387716,129
4.990403071,-0.14,-0.95,-0.22,,,,,,,,,,0.038387716,130
5.028790787,-0.17,-1.08,-0.15,,,,,,,,,,0.038387716,131
5.067178503,-0.12,-1.01,-0.2,,,,,,,,,,0.038387716,132
5.105566219,-0.14,-1.06,-0.19,,,,,,,,,,0.038387716,133
5.143953935,-0.05,-1.04,-0.2,,,,,,,,,,0.038387716,134
5.182341651,-0.11,-0.98,-0.22,,,,,,,,,,0.038387716,135
5.220729367,-0.1,-1.09,-0.18,,,,,,,,,,0.038387716,136
5.259117083,-0.12,-1.26,-0.06,,,,,,,,,,0.038387716,137
5.297504798,-0.12,-1.11,-0.2,,,,,,,,,,0.038387716,138
5.335892514,-0.09,-1,-0.2,,,,,,,,,,0.038387716,139
5.37428023,-0.09,-1.08,-0.21,,,,,,,,,,0.038387716,140
5.412667946,-0.11,-0.83,-0.23,,,,,,,,,,0.038387716,141
5.451055662,-0.07,-0.85,-0.19,,,,,,,,,,0.038387716,142
5.489443378,-0.12,-0.95,-0.11,,,,,,,,,,0.038387716,143
5.527831094,-0.1,-0.95,-0.18,,,,,,,,,,0.038387716,144
5.56621881,-0.07,-1.22,-0.14,,,,,,,,,,0.038387716,145
5.604606526,-0.12,-1.03,-0.2,,,,,,,,,,0.038387716,146
5.642994242,-0.1,-1.07,-0.19,,,,,,,,,,0.038387716,147
5.681381958,-0.11,-0.91,-0.18,,,,,,,,,,0.038387716,148
5.719769674,-0.13,-0.95,-0.15,,,,,,,,,,0.038387716,149
5.75815739,-0.07,-0.86,-0.25,,,,,,,,,,0.038387716,150
5.796545106,-0.12,-0.98,-0.22,,,,,,,,,,0.038387716,151
5.834932821,-0.11,-1.12,-0.09,,,,,,,,,,0.038387716,152
5.873320537,-0.11,-1.03,-0.12,,,,,,,,,,0.038387716,153
5.911708253,-0.16,-0.81,-0.15,,,,,,,,,,0.038387716,154
5.950095969,-0.15,-0.86,-0.2,,,,,,,,,,0.038387716,155
5.988483685,-0.12,-1.07,-0.16,,,,,,,,,,0.038387716,156
6.026871401,-0.07,-0.99,-0.16,,,,,,,,,,0.038387716,157
6.065259117,-0.13,-0.98,-0.15,,,,,,,,,,0.038387716,158
6.103646833,-0.13,-1.34,-0.16,,,,,,,,,,0.038387716,159
6.142034549,-0.11,-1.07,-0.14,,,,,,,,,,0.038387716,160
