time,Xa,Ya,Za,,,,,,,
0.03539823009,-0.99,0.15,0.11,,,,-1,-0.11,1,0.03539823009
0.07079646018,-1.05,0.14,0.1,,,,-1,-0.1,2,0.03539823009
0.1061946903,-0.89,0.15,0.11,,,,-1,-0.11,3,0.03539823009
0.1415929204,-0.99,0.15,0.11,,,,-1,-0.11,4,0.03539823009
0.1769911504,-0.92,0.16,0.12,,,,-1,-0.12,5,0.03539823009
0.2123893805,-0.92,0.16,0.12,,,,-1,-0.12,6,0.03539823009
0.2477876106,-0.92,0.16,0.12,,,,-1,-0.12,7,0.03539823009
0.2831858407,-0.99,0.18,0.13,,,,-1,-0.13,8,0.03539823009
0.3185840708,-0.99,0.1,0.09,,,,-1,-0.09,9,0.03539823009
0.3539823009,-1,0.18,0.13,,,,-1,-0.13,10,0.03539823009
0.389380531,-1.1,0.17,0.12,,,,-1,-0.12,11,0.03539823009
0.4247787611,-1.09,0.14,0.12,,,,-1,-0.12,12,0.03539823009
0.4601769912,-0.98,0.15,0.14,,,,-1,-0.14,13,0.03539823009
0.4955752212,-0.99,0.17,0.13,,,,-1,-0.13,14,0.03539823009
0.5309734513,-1.16,0.15,0.11,,,,-1,-0.11,15,0.03539823009
0.5663716814,-1.01,0.13,0.11,,,,-1,-0.11,16,0.03539823009
0.6017699115,-1.05,0.19,0.13,,,,-1,-0.13,17,0.03539823009
0.6371681416,-1.14,0.15,0.1,,,,-1,-0.1,18,0.03539823009
0.6725663717,-1.01,0.14,0.12,,,,-1,-0.12,19,0.03539823009
0.7079646018,-1.11,0.12,0.11,,,,-1,-0.11,20,0.03539823009
0.7433628319,-1.04,0.13,0.11,,,,-1,-0.11,21,0.03539823009
0.7787610619,-0.93,0.12,0.1,,,,-1,-0.1,22,0.03539823009
0.814159292,-1.08,0.14,0.11,,,,-1,-0.11,23,0.03539823009
0.8495575221,-0.93,0.16,0.16,,,,-1,-0.16,24,0.03539823009
0.8849557522,-1.21,0.18,0.09,,,,-1,-0.09,25,0.03539823009
0.9203539823,-1.1,0.18,0.13,,,,-1,-0.13,26,0.03539823009
0.9557522124,-1.2,0.16,0.12,,,,-1,-0.12,27,0.03539823009
0.9911504425,-1.19,0.16,0.11,,,,-1,-0.11,28,0.03539823009
1.026548673,-1.04,0.13,0.09,,,,-1,-0.09,29,0.03539823009
1.061946903,-1.16,0.13,0.1,,,,-1,-0.1,30,0.03539823009
1.097345133,-1.03,0.17,0.14,,,,-1,-0.14,31,0.03539823009
1.132743363,-1.05,0.17,0.11,,,,-1,-0.11,32,0.03539823009
1.168141593,-0.97,0.13,0.11,,,,-1,-0.11,33,0.03539823009
1.203539823,-0.92,0.14,0.11,,,,-1,-0.11,34,0.03539823009
1.238938053,-1.01,0.17,0.12,,,,-1,-0.12,35,0.03539823009
1.274336283,-0.78,0.12,0.12,,,,-1,-0.12,36,0.03539823009
1.309734513,-0.98,0.14,0.1,,,,-1,-0.1,37,0.03539823009
1.345132743,-0.89,0.14,0.12,,,,-1,-0.12,38,0.03539823009
1.380530973,-1.04,0.13,0.12,,,,-1,-0.12,39,0.03539823009
1.415929204,-1.23,0.15,0.12,,,,-1,-0.12,40,0.03539823009
1.451327434,-1.04,0.14,0.11,,,,-1,-0.11,41,0.03539823009
1.486725664,-1.18,0.17,0.14,,,,-1,-0.14,42,0.03539823009
1.522123894,-1.17,0.17,0.1,,,,-1,-0.1,43,0.03539823009
1.557522124,-1.06,0.12,0.11,,,,-1,-0.11,44,0.03539823009
1.592920354,-1.07,0.13,0.1,,,,-1,-0.1,45,0.03539823009
1.628318584,-0.97,0.14,0.11,,,,-1,-0.11,46,0.03539823009
1.663716814,-1.15,0.18,0.11,,,,-1,-0.11,47,0.03539823009
1.699115044,-1.04,0.17,0.12,,,,-1,-0.12,48,0.03539823009
1.734513274,-1.03,0.15,0.11,,,,-1,-0.11,49,0.03539823009
1.769911504,-1.05,0.14,0.12,,,,-1,-0.12,50,0.03539823009
1.805309735,-0.98,0.16,0.12,,,,-1,-0.12,51,0.03539823009
1.840707965,-0.91,0.14,0.12,,,,-1,-0.12,52,0.03539823009
1.876106195,-1.08,0.11,0.09,,,,-1,-0.09,53,0.03539823009
1.911504425,-1.1,0.2,0.12,,,,-1,-0.12,54,0.03539823009
1.946902655,-1.12,0.14,0.12,,,,-1,-0.12,55,0.03539823009
1.982300885,-0.97,0.16,0.14,,,,-1,-0.14,56,0.03539823009
2.017699115,-1.06,0.15,0.12,,,,-1,-0.12,57,0.03539823009
2.053097345,-1.2,0.12,0.11,,,,-1,-0.11,58,0.03539823009
2.088495575,-1.07,0.14,0.12,,,,-1,-0.12,59,0.03539823009
