Time,Xa,Ya,Za,,,,,,,,,,
0.035587189,-0.1,-1.04,-0.21,,,,,,,,,0.035587189,1
0.071174377,-0.23,-0.73,-0.1,,,,,,,,,0.035587189,2
0.106761566,-0.23,-1.12,-0.25,,,,,,,,,0.035587189,3
0.142348754,-0.16,-1.29,-0.07,,,,,,,,,0.035587189,4
0.177935943,-0.23,-0.73,-0.1,,,,,,,,,0.035587189,5
0.213523132,-0.23,-1.12,-0.25,,,,,,,,,0.035587189,6
0.24911032,-0.16,-1.29,-0.07,,,,,,,,,0.035587189,7
0.284697509,-0.23,-0.73,-0.1,,,,,,,,,0.035587189,8
0.320284698,-0.18,-0.34,-0.16,,,,,,,,,0.035587189,9
0.355871886,-0.34,-1.07,-0.16,,,,,,,,,0.035587189,10
0.391459075,-0.2,-1.16,-0.16,,,,,,,,,0.035587189,11
0.427046263,-0.21,-0.76,-0.21,,,,,,,,,0.035587189,12
0.462633452,-0.27,-0.83,-0.28,,,,,,,,,0.035587189,13
0.498220641,-0.16,-0.77,-0.3,,,,,,,,,0.035587189,14
0.533807829,-0.23,-1.08,-0.16,,,,,,,,,0.035587189,15
0.569395018,-0.3,-1,-0.18,,,,,,,,,0.035587189,16
0.604982206,-0.22,-0.74,-0.29,,,,,,,,,0.035587189,17
0.640569395,-0.26,-1.07,-0.2,,,,,,,,,0.035587189,18
0.676156584,-0.2,-0.99,-0.27,,,,,,,,,0.035587189,19
0.711743772,-0.27,-1.31,-0.21,,,,,,,,,0.035587189,20
0.747330961,-0.22,-0.92,-0.22,,,,,,,,,0.035587189,21
0.782918149,-0.15,-1.3,-0.16,,,,,,,,,0.035587189,22
0.818505338,-0.24,-1.17,-0.09,,,,,,,,,0.035587189,23
0.854092527,-0.16,-1.35,-0.16,,,,,,,,,0.035587189,24
0.889679715,0.04,-1.41,-0.15,,,,,,,,,0.035587189,25
0.925266904,-0.18,-1.14,-0.2,,,,,,,,,0.035587189,26
0.960854093,-0.05,-1.21,-0.11,,,,,,,,,0.035587189,27
0.996441281,-0.04,-1.1,-0.17,,,,,,,,,0.035587189,28
1.03202847,-0.43,-0.73,-0.1,,,,,,,,,0.035587189,29
1.067615658,-0.02,-1.49,-0.13,,,,,,,,,0.035587189,30
1.103202847,-0.46,-1.3,-0.21,,,,,,,,,0.035587189,31
1.138790036,-0.23,-0.85,-0.22,,,,,,,,,0.035587189,32
