Time,Xa,Ya,Za,,,,,,,,,,
3.197026022,-0.2,-0.75,-0.21,,,,,,,,,0.037174721,86
3.234200743,-0.28,-0.68,-0.2,,,,,,,,,0.037174721,87
3.271375465,-0.16,-1.11,-0.18,,,,,,,,,0.037174721,88
3.308550186,-0.16,-0.62,-0.14,,,,,,,,,0.037174721,89
3.345724907,-0.18,-1.37,-0.09,,,,,,,,,0.037174721,90
3.382899628,-0.36,-0.58,-0.3,,,,,,,,,0.037174721,91
3.420074349,-0.42,-0.64,-0.28,,,,,,,,,0.037174721,92
3.457249071,-0.32,-0.49,-0.24,,,,,,,,,0.037174721,93
3.494423792,-0.25,-0.67,-0.18,,,,,,,,,0.037174721,94
3.531598513,-0.28,-1.32,-0.29,,,,,,,,,0.037174721,95
3.568773234,-0.3,-0.88,-0.28,,,,,,,,,0.037174721,96
3.605947955,-0.25,-0.88,-0.26,,,,,,,,,0.037174721,97
3.643122677,-0.33,-1.01,-0.29,,,,,,,,,0.037174721,98
3.680297398,-0.25,-0.55,-0.4,,,,,,,,,0.037174721,99
3.717472119,-0.15,-1.38,-0.23,,,,,,,,,0.037174721,100
3.75464684,-0.18,-1.29,-0.27,,,,,,,,,0.037174721,101
3.791821561,-0.13,-1.32,-0.27,,,,,,,,,0.037174721,102
3.828996283,-0.27,-1.22,-0.18,,,,,,,,,0.037174721,103
3.866171004,-0.18,-0.4,-0.14,,,,,,,,,0.037174721,104
3.903345725,-0.29,-1.7,-0.16,,,,,,,,,0.037174721,105
3.940520446,-0.11,-1.3,-0.32,,,,,,,,,0.037174721,106
3.977695167,-0.3,-0.51,-0.37,,,,,,,,,0.037174721,107
4.014869888,-0.18,-1.16,-0.09,,,,,,,,,0.037174721,108
4.05204461,-0.26,-0.65,-0.26,,,,,,,,,0.037174721,109
4.089219331,-0.21,-0.96,-0.13,,,,,,,,,0.037174721,110
4.126394052,-0.19,-0.87,-0.15,,,,,,,,,0.037174721,111
4.163568773,-0.25,-1.42,-0.08,,,,,,,,,0.037174721,112
4.200743494,-0.18,-1.35,-0.16,,,,,,,,,0.037174721,113
4.237918216,-0.2,-1.04,-0.21,,,,,,,,,0.037174721,114
4.275092937,-0.16,-1.26,-0.27,,,,,,,,,0.037174721,115
4.312267658,-0.14,-0.39,-0.29,,,,,,,,,0.037174721,116
4.349442379,-0.11,-0.76,-0.2,,,,,,,,,0.037174721,117
4.3866171,-0.19,-1.32,-0.06,,,,,,,,,0.037174721,118
4.423791822,-0.27,-0.69,-0.27,,,,,,,,,0.037174721,119
4.460966543,-0.3,-0.58,-0.28,,,,,,,,,0.037174721,120
4.498141264,-0.12,-0.58,-0.27,,,,,,,,,0.037174721,121
4.535315985,-0.36,-0.43,-0.29,,,,,,,,,0.037174721,122
4.572490706,-0.19,-1.8,0.04,,,,,,,,,0.037174721,123
4.609665428,-0.2,-1.34,-0.28,,,,,,,,,0.037174721,124
4.646840149,-0.1,-0.93,-0.12,,,,,,,,,0.037174721,125
4.68401487,-0.05,-1.43,-0.15,,,,,,,,,0.037174721,126
4.721189591,-0.2,-0.8,-0.26,,,,,,,,,0.037174721,127
4.758364312,-0.21,-0.52,-0.22,,,,,,,,,0.037174721,128
4.795539033,-0.14,-0.85,-0.23,,,,,,,,,0.037174721,129
4.832713755,-0.33,-0.84,-0.07,,,,,,,,,0.037174721,130
4.869888476,-0.29,-1.51,-0.13,,,,,,,,,0.037174721,131
4.907063197,-0.12,-0.54,-0.36,,,,,,,,,0.037174721,132
4.944237918,-0.29,-0.54,-0.29,,,,,,,,,0.037174721,133
4.981412639,-0.05,-0.76,-0.26,,,,,,,,,0.037174721,134
5.018587361,-0.39,-0.68,-0.14,,,,,,,,,0.037174721,135
5.055762082,-0.3,-1.7,-0.14,,,,,,,,,0.037174721,136
5.092936803,-0.29,-1.08,-0.3,,,,,,,,,0.037174721,137
5.130111524,-0.39,-0.88,-0.12,,,,,,,,,0.037174721,138
5.167286245,-0.15,-0.97,-0.3,,,,,,,,,0.037174721,139
5.204460967,-0.43,-0.79,-0.18,,,,,,,,,0.037174721,140
5.241635688,-0.32,-1.16,-0.21,,,,,,,,,0.037174721,141
5.278810409,-0.28,-1.26,-0.17,,,,,,,,,0.037174721,142
5.31598513,-0.12,-1.16,-0.24,,,,,,,,,0.037174721,143
5.353159851,-0.19,-1.45,-0.18,,,,,,,,,0.037174721,144
5.390334572,-0.16,-1.11,-0.21,,,,,,,,,0.037174721,145
5.427509294,-0.13,-1.28,-0.2,,,,,,,,,0.037174721,146
5.464684015,-0.11,-0.93,-0.12,,,,,,,,,0.037174721,147
5.501858736,-0.2,-0.85,-0.18,,,,,,,,,0.037174721,148
5.539033457,-0.08,-0.74,-0.11,,,,,,,,,0.037174721,149
5.576208178,-0.18,-1.16,-0.19,,,,,,,,,0.037174721,150
5.6133829,-0.22,-1.03,-0.26,,,,,,,,,0.037174721,151
5.650557621,-0.15,-0.95,-0.25,,,,,,,,,0.037174721,152
5.687732342,-0.18,-0.67,-0.17,,,,,,,,,0.037174721,153
5.724907063,-0.28,-1,-0.22,,,,,,,,,0.037174721,154
5.762081784,0.02,-1.02,-0.3,,,,,,,,,0.037174721,155
5.799256506,-0.34,-0.68,-0.28,,,,,,,,,0.037174721,156
5.836431227,-0.15,-1.09,-0.11,,,,,,,,,0.037174721,157
5.873605948,-0.15,-1.21,-0.11,,,,,,,,,0.037174721,158
5.910780669,-0.24,-0.89,-0.24,,,,,,,,,0.037174721,159
5.94795539,-0.23,-0.76,-0.25,,,,,,,,,0.037174721,160
5.985130112,-0.29,-0.55,-0.08,,,,,,,,,0.037174721,161
6.022304833,-0.07,-0.97,-0.18,,,,,,,,,0.037174721,162
6.059479554,-0.27,-1.4,-0.25,,,,,,,,,0.037174721,163
6.096654275,-0.25,-0.52,-0.2,,,,,,,,,0.037174721,164
6.133828996,-0.27,-0.91,-0.2,,,,,,,,,0.037174721,165
6.171003717,-0.09,-1.24,-0.25,,,,,,,,,0.037174721,166
6.208178439,-0.28,-0.97,-0.1,,,,,,,,,0.037174721,167
6.24535316,-0.05,-1.29,-0.18,,,,,,,,,0.037174721,168
6.282527881,-0.2,-0.54,-0.11,,,,,,,,,0.037174721,169
6.319702602,-0.12,-1.18,-0.11,,,,,,,,,0.037174721,170
6.356877323,0,-1.15,-0.3,,,,,,,,,0.037174721,171
6.394052045,-0.11,-0.95,-0.29,,,,,,,,,0.037174721,172
6.431226766,-0.15,-1.29,-0.04,,,,,,,,,0.037174721,173
6.468401487,-0.17,-1.27,-0.26,,,,,,,,,0.037174721,174
6.505576208,-0.22,-0.07,-0.37,,,,,,,,,0.037174721,175
6.542750929,0.06,-0.86,-0.18,,,,,,,,,0.037174721,176
6.579925651,-0.07,-0.9,-0.28,,,,,,,,,0.037174721,177
6.617100372,0.22,-1.05,-0.23,,,,,,,,,0.037174721,178
6.654275093,-0.31,-1.01,-0.16,,,,,,,,,0.037174721,179
6.691449814,-0.33,-0.97,-0.25,,,,,,,,,0.037174721,180
6.728624535,-0.27,-1.49,-0.1,,,,,,,,,0.037174721,181
6.765799257,-0.13,-0.86,-0.16,,,,,,,,,0.037174721,182
6.802973978,-0.33,-0.74,-0.15,,,,,,,,,0.037174721,183
6.840148699,-0.21,-1.14,-0.25,,,,,,,,,0.037174721,184
6.87732342,-0.35,-1.39,-0.32,,,,,,,,,0.037174721,185
6.914498141,-0.26,-0.83,-0.05,,,,,,,,,0.037174721,186
6.951672862,-0.08,-0.95,-0.23,,,,,,,,,0.037174721,187
6.988847584,-0.18,-1.13,-0.11,,,,,,,,,0.037174721,188
7.026022305,-0.36,-0.42,-0.2,,,,,,,,,0.037174721,189
7.063197026,-0.12,-0.83,-0.24,,,,,,,,,0.037174721,190
7.100371747,-0.22,-1.39,-0.25,,,,,,,,,0.037174721,191
7.137546468,-0.25,-0.95,-0.21,,,,,,,,,0.037174721,192
7.17472119,-0.27,-1.4,-0.08,,,,,,,,,0.037174721,193
7.211895911,-0.21,-1.39,-0.05,,,,,,,,,0.037174721,194
7.249070632,-0.37,-0.67,-0.23,,,,,,,,,0.037174721,195
7.286245353,-0.26,-0.82,-0.11,,,,,,,,,0.037174721,196
7.323420074,-0.22,-0.72,-0.34,,,,,,,,,0.037174721,197
7.360594796,-0.14,-0.79,-0.29,,,,,,,,,0.037174721,198
7.397769517,-0.33,-1.13,-0.21,,,,,,,,,0.037174721,199
7.434944238,-0.09,-1.09,-0.38,,,,,,,,,0.037174721,200
7.472118959,-0.17,-1.12,-0.12,,,,,,,,,0.037174721,201
7.50929368,-0.25,-1.32,-0.09,,,,,,,,,0.037174721,202
7.546468401,-0.3,-1.41,-0.26,,,,,,,,,0.037174721,203
7.583643123,-0.07,-0.49,-0.18,,,,,,,,,0.037174721,204
7.620817844,-0.2,-0.97,-0.32,,,,,,,,,0.037174721,205
7.657992565,-0.01,-1,-0.3,,,,,,,,,0.037174721,206
7.695167286,-0.35,-1.01,-0.12,,,,,,,,,0.037174721,207
7.732342007,-0.17,-1.52,-0.29,,,,,,,,,0.037174721,208
7.769516729,-0.27,-0.46,-0.29,,,,,,,,,0.037174721,209
7.80669145,-0.2,-0.62,-0.38,,,,,,,,,0.037174721,210
7.843866171,-0.06,-1.41,-0.27,,,,,,,,,0.037174721,211
7.881040892,-0.21,-0.91,-0.21,,,,,,,,,0.037174721,212
7.918215613,-0.27,-1.25,-0.16,,,,,,,,,0.037174721,213
7.955390335,-0.27,-0.65,-0.22,,,,,,,,,0.037174721,214
7.992565056,0.12,-0.7,-0.23,,,,,,,,,0.037174721,215
8.029739777,-0.05,-0.93,-0.21,,,,,,,,,0.037174721,216
8.066914498,-0.16,-1.09,-0.29,,,,,,,,,0.037174721,217
8.104089219,-0.11,-1.13,-0.2,,,,,,,,,0.037174721,218
8.141263941,-0.25,-1.68,-0.36,,,,,,,,,0.037174721,219
8.178438662,-0.38,-0.38,-0.33,,,,,,,,,0.037174721,220
8.215613383,-0.14,-1.27,-0.32,,,,,,,,,0.037174721,221
