time,Xa,Ya,Za,,,,,,,
0.03649635036,-1.04,0.17,0.1,,,,-1,-0.1,1,0.03649635036
0.07299270073,-1.04,0.17,0.1,,,,-1,-0.1,2,0.03649635036
0.1094890511,-1.04,0.17,0.1,,,,-1,-0.1,3,0.03649635036
0.1459854015,-1.05,0.13,0.1,,,,-1,-0.1,4,0.03649635036
0.1824817518,-0.97,0.2,0.14,,,,-1,-0.14,5,0.03649635036
0.2189781022,-1.01,0.17,0.12,,,,-1,-0.12,6,0.03649635036
0.2554744526,-1.07,0.16,0.09,,,,-1,-0.09,7,0.03649635036
0.2919708029,-1.06,0.16,0.11,,,,-1,-0.11,8,0.03649635036
0.3284671533,-1.12,0.14,0.09,,,,-1,-0.09,9,0.03649635036
0.3649635036,-1.07,0.12,0.09,,,,-1,-0.09,10,0.03649635036
0.401459854,-1.12,0.16,0.09,,,,-1,-0.09,11,0.03649635036
0.4379562044,-1.07,0.18,0.12,,,,-1,-0.12,12,0.03649635036
0.4744525547,-1.01,0.15,0.1,,,,-1,-0.1,13,0.03649635036
0.5109489051,-0.96,0.16,0.09,,,,-1,-0.09,14,0.03649635036
0.5474452555,-1.09,0.18,0.12,,,,-1,-0.12,15,0.03649635036
0.5839416058,-1.02,0.19,0.11,,,,-1,-0.11,16,0.03649635036
0.6204379562,-1.09,0.14,0.08,,,,-1,-0.08,17,0.03649635036
0.6569343066,-1,0.16,0.11,,,,-1,-0.11,18,0.03649635036
0.6934306569,-1.02,0.12,0.1,,,,-1,-0.1,19,0.03649635036
0.7299270073,-0.92,0.11,0.09,,,,-1,-0.09,20,0.03649635036
0.7664233577,-1.1,0.13,0.09,,,,-1,-0.09,21,0.03649635036
0.802919708,-0.93,0.14,0.1,,,,-1,-0.1,22,0.03649635036
0.8394160584,-1.14,0.18,0.1,,,,-1,-0.1,23,0.03649635036
0.8759124088,-1.01,0.14,0.09,,,,-1,-0.09,24,0.03649635036
0.9124087591,-1.06,0.16,0.09,,,,-1,-0.09,25,0.03649635036
0.9489051095,-1.01,0.12,0.08,,,,-1,-0.08,26,0.03649635036
0.9854014599,-0.97,0.13,0.11,,,,-1,-0.11,27,0.03649635036
1.02189781,-1.13,0.14,0.09,,,,-1,-0.09,28,0.03649635036
1.058394161,-1.05,0.1,0.09,,,,-1,-0.09,29,0.03649635036
1.094890511,-1.05,0.15,0.12,,,,-1,-0.12,30,0.03649635036
1.131386861,-1.04,0.14,0.09,,,,-1,-0.09,31,0.03649635036
1.167883212,-1.09,0.15,0.09,,,,-1,-0.09,32,0.03649635036
1.204379562,-1.07,0.17,0.11,,,,-1,-0.11,33,0.03649635036
1.240875912,-1.07,0.16,0.09,,,,-1,-0.09,34,0.03649635036
1.277372263,-1.12,0.12,0.09,,,,-1,-0.09,35,0.03649635036
1.313868613,-1.04,0.15,0.1,,,,-1,-0.1,36,0.03649635036
1.350364964,-1.03,0.07,0.09,,,,-1,-0.09,37,0.03649635036
1.386861314,-1.07,0.14,0.1,,,,-1,-0.1,38,0.03649635036
1.423357664,-1.07,0.13,0.09,,,,-1,-0.09,39,0.03649635036
1.459854015,-0.99,0.15,0.1,,,,-1,-0.1,40,0.03649635036
1.496350365,-1.08,0.21,0.12,,,,-1,-0.12,41,0.03649635036
1.532846715,-1,0.11,0.09,,,,-1,-0.09,42,0.03649635036
1.569343066,-1.04,0.21,0.13,,,,-1,-0.13,43,0.03649635036
1.605839416,-1.18,0.16,0.1,,,,-1,-0.1,44,0.03649635036
1.642335766,-1.07,0.12,0.09,,,,-1,-0.09,45,0.03649635036
1.678832117,-1.05,0.12,0.1,,,,-1,-0.1,46,0.03649635036
1.715328467,-1,0.05,0.07,,,,-1,-0.07,47,0.03649635036
1.751824818,-0.96,0.14,0.11,,,,-1,-0.11,48,0.03649635036
1.788321168,-1.12,0.13,0.1,,,,-1,-0.1,49,0.03649635036
1.824817518,-1.03,0.13,0.11,,,,-1,-0.11,50,0.03649635036
1.861313869,-1.07,0.14,0.08,,,,-1,-0.08,51,0.03649635036
1.897810219,-1.1,0.14,0.09,,,,-1,-0.09,52,0.03649635036
1.934306569,-1,0.18,0.12,,,,-1,-0.12,53,0.03649635036
1.97080292,-1.04,0.15,0.09,,,,-1,-0.09,54,0.03649635036
2.00729927,-1.09,0.14,0.11,,,,-1,-0.11,55,0.03649635036
2.04379562,-1.01,0.1,0.1,,,,-1,-0.1,56,0.03649635036
2.080291971,-1.07,0.15,0.09,,,,-1,-0.09,57,0.03649635036
2.116788321,-1.05,0.09,0.09,,,,-1,-0.09,58,0.03649635036
2.153284672,-1.05,0.14,0.11,,,,-1,-0.11,59,0.03649635036
2.189781022,-1.07,0.15,0.1,,,,-1,-0.1,60,0.03649635036
2.226277372,-0.96,0.13,0.1,,,,-1,-0.1,61,0.03649635036
2.262773723,-1.12,0.2,0.11,,,,-1,-0.11,62,0.03649635036
2.299270073,-1.06,0.12,0.1,,,,-1,-0.1,63,0.03649635036
2.335766423,-0.98,0.16,0.1,,,,-1,-0.1,64,0.03649635036
2.372262774,-1.04,0.14,0.1,,,,-1,-0.1,65,0.03649635036
2.408759124,-0.98,0.18,0.12,,,,-1,-0.12,66,0.03649635036
2.445255474,-1.06,0.15,0.1,,,,-1,-0.1,67,0.03649635036
2.481751825,-1.05,0.18,0.1,,,,-1,-0.1,68,0.03649635036
2.518248175,-1.02,0.1,0.09,,,,-1,-0.09,69,0.03649635036
2.554744526,-1,0.14,0.11,,,,-1,-0.11,70,0.03649635036
2.591240876,-1.13,0.12,0.1,,,,-1,-0.1,71,0.03649635036
2.627737226,-0.98,0.12,0.09,,,,-1,-0.09,72,0.03649635036
2.664233577,-1.06,0.16,0.1,,,,-1,-0.1,73,0.03649635036
2.700729927,-1,0.08,0.09,,,,-1,-0.09,74,0.03649635036
2.737226277,-0.96,0.13,0.09,,,,-1,-0.09,75,0.03649635036
2.773722628,-1.03,0.16,0.11,,,,-1,-0.11,76,0.03649635036
2.810218978,-1.01,0.14,0.11,,,,-1,-0.11,77,0.03649635036
2.846715328,-1.04,0.19,0.11,,,,-1,-0.11,78,0.03649635036
2.883211679,-1.12,0.14,0.1,,,,-1,-0.1,79,0.03649635036
