time,Xa,Ya,Za,,,,
0.03239740821,0,0.2,0.88,,,1,0.03239740821
0.06479481641,-0.01,0.19,0.91,,,2,0.03239740821
0.09719222462,0.01,0.2,0.88,,,3,0.03239740821
0.1295896328,0.02,0.21,0.92,,,4,0.03239740821
0.161987041,0.05,0.29,0.75,,,5,0.03239740821
0.1943844492,0.03,0.25,0.84,,,6,0.03239740821
0.2267818575,0.03,0.22,0.89,,,7,0.03239740821
0.2591792657,0.02,0.23,0.88,,,8,0.03239740821
0.2915766739,0.01,0.22,0.86,,,9,0.03239740821
0.3239740821,0.03,0.26,0.85,,,10,0.03239740821
0.3563714903,0.03,0.27,0.85,,,11,0.03239740821
0.3887688985,0.04,0.26,0.86,,,12,0.03239740821
0.4211663067,0.06,0.3,0.79,,,13,0.03239740821
0.4535637149,0.01,0.28,0.86,,,14,0.03239740821
0.4859611231,0.04,0.24,0.86,,,15,0.03239740821
0.5183585313,0.04,0.25,0.88,,,16,0.03239740821
0.5507559395,0.03,0.25,0.82,,,17,0.03239740821
0.5831533477,0.04,0.25,0.85,,,18,0.03239740821
0.6155507559,0.03,0.27,0.88,,,19,0.03239740821
0.6479481641,0.05,0.28,0.86,,,20,0.03239740821
0.6803455724,0,0.15,0.87,,,21,0.03239740821
0.7127429806,0,0.21,0.86,,,22,0.03239740821
0.7451403888,0.02,0.24,0.84,,,23,0.03239740821
0.777537797,0.01,0.23,0.93,,,24,0.03239740821
0.8099352052,0.05,0.29,0.8,,,25,0.03239740821
0.8423326134,0.04,0.26,0.82,,,26,0.03239740821
0.8747300216,0.04,0.26,0.86,,,27,0.03239740821
0.9071274298,0.04,0.31,0.89,,,28,0.03239740821
0.939524838,0,0.16,0.86,,,29,0.03239740821
0.9719222462,0,0.16,0.85,,,30,0.03239740821
1.004319654,0.02,0.21,0.86,,,31,0.03239740821
1.036717063,0,0.18,0.88,,,32,0.03239740821
1.069114471,0.05,0.32,0.86,,,33,0.03239740821
1.101511879,0.04,0.28,0.87,,,34,0.03239740821
1.133909287,0.04,0.25,0.88,,,35,0.03239740821
1.166306695,0.04,0.28,0.91,,,36,0.03239740821
1.198704104,0.03,0.25,0.86,,,37,0.03239740821
1.231101512,0.06,0.27,0.86,,,38,0.03239740821
1.26349892,0.03,0.25,0.76,,,39,0.03239740821
1.295896328,0.04,0.25,0.86,,,40,0.03239740821
1.328293737,0.04,0.29,0.92,,,41,0.03239740821
1.360691145,0.04,0.29,0.87,,,42,0.03239740821
1.393088553,0.05,0.25,0.8,,,43,0.03239740821
1.425485961,0.03,0.22,0.76,,,44,0.03239740821
1.457883369,0.01,0.22,0.83,,,45,0.03239740821
1.490280778,0.02,0.2,0.87,,,46,0.03239740821
1.522678186,0.02,0.23,0.87,,,47,0.03239740821
1.555075594,0.02,0.22,0.8,,,48,0.03239740821
1.587473002,0.03,0.24,0.97,,,49,0.03239740821
1.61987041,0.02,0.2,0.9,,,50,0.03239740821
1.652267819,0.01,0.22,0.85,,,51,0.03239740821
1.684665227,0,0.18,0.8,,,52,0.03239740821
1.717062635,0,0.16,0.86,,,53,0.03239740821
1.749460043,0.01,0.24,0.89,,,54,0.03239740821
1.781857451,0.02,0.22,0.86,,,55,0.03239740821
1.81425486,-0.01,0.23,0.89,,,56,0.03239740821
1.846652268,0.05,0.31,0.92,,,57,0.03239740821
1.879049676,0.03,0.28,0.85,,,58,0.03239740821
1.911447084,0.04,0.25,0.79,,,59,0.03239740821
1.943844492,0.04,0.26,0.84,,,60,0.03239740821
1.976241901,0.04,0.25,0.81,,,61,0.03239740821
2.008639309,-0.02,0.12,0.9,,,62,0.03239740821
2.041036717,-0.03,0.11,0.86,,,63,0.03239740821
2.073434125,-0.01,0.12,0.9,,,64,0.03239740821
2.105831533,0.1,0.36,0.83,,,65,0.03239740821
