time,Xa,Ya,Za,,,,,,,
0.03683241252,-0.97,0.16,0.11,,,,-1,-0.11,1,0.03683241252
0.07366482505,-0.99,0.4,0.05,,,,-1,-0.05,2,0.03683241252
0.1104972376,-0.91,0.28,0.07,,,,-1,-0.07,3,0.03683241252
0.1473296501,-0.97,0.16,0.11,,,,-1,-0.11,4,0.03683241252
0.1841620626,-0.99,0.4,0.05,,,,-1,-0.05,5,0.03683241252
0.2209944751,-0.91,0.28,0.07,,,,-1,-0.07,6,0.03683241252
0.2578268877,-0.98,0.44,0.06,,,,-1,-0.06,7,0.03683241252
0.2946593002,-0.93,0.26,0.04,,,,-1,-0.04,8,0.03683241252
0.3314917127,-0.93,0.26,0.04,,,,-1,-0.04,9,0.03683241252
0.3683241252,-0.92,0.24,0.06,,,,-1,-0.06,10,0.03683241252
0.4051565378,-1.09,0.25,0.07,,,,-1,-0.07,11,0.03683241252
0.4419889503,-0.98,0.32,0.1,,,,-1,-0.1,12,0.03683241252
0.4788213628,-1.04,0.32,0.1,,,,-1,-0.1,13,0.03683241252
0.5156537753,-0.91,0.34,0.07,,,,-1,-0.07,14,0.03683241252
0.5524861878,-1.07,0.36,0.06,,,,-1,-0.06,15,0.03683241252
0.5893186004,-1,0.24,0.08,,,,-1,-0.08,16,0.03683241252
0.6261510129,-0.96,0.45,0.14,,,,-1,-0.14,17,0.03683241252
0.6629834254,-0.86,0.27,0.08,,,,-1,-0.08,18,0.03683241252
0.6998158379,-1.14,0.32,0.08,,,,-1,-0.08,19,0.03683241252
0.7366482505,-0.73,0.39,0.09,,,,-1,-0.09,20,0.03683241252
0.773480663,-1.11,0.44,0.12,,,,-1,-0.12,21,0.03683241252
0.8103130755,-0.89,0.29,0.11,,,,-1,-0.11,22,0.03683241252
0.847145488,-0.92,0.17,0.04,,,,-1,-0.04,23,0.03683241252
0.8839779006,-0.8,0.22,0.09,,,,-1,-0.09,24,0.03683241252
0.9208103131,-0.89,0.44,0.1,,,,-1,-0.1,25,0.03683241252
0.9576427256,-1.22,0.48,0.11,,,,-1,-0.11,26,0.03683241252
