time,Xa,Ya,Za,,,,,,,
0.03683241252,-0.99,-0.01,-0.02,,,,-1,0.02,1,0.03683241252
0.07366482505,-1.1,0.01,-0.04,,,,-1,0.04,2,0.03683241252
0.1104972376,-1.1,0.01,-0.04,,,,-1,0.04,3,0.03683241252
0.1473296501,-0.92,-0.03,-0.08,,,,-1,0.08,4,0.03683241252
0.1841620626,-1.12,0,0,,,,-1,0,5,0.03683241252
0.2209944751,-1.03,-0.05,0.02,,,,-1,-0.02,6,0.03683241252
0.2578268877,-1.18,0.06,0.04,,,,-1,-0.04,7,0.03683241252
0.2946593002,-1.12,-0.04,-0.05,,,,-1,0.05,8,0.03683241252
0.3314917127,-0.88,-0.05,-0.05,,,,-1,0.05,9,0.03683241252
0.3683241252,-1.15,-0.04,-0.01,,,,-1,0.01,10,0.03683241252
0.4051565378,-1.04,0.01,-0.04,,,,-1,0.04,11,0.03683241252
0.4419889503,-0.92,-0.01,-0.01,,,,-1,0.01,12,0.03683241252
0.4788213628,-1.04,0.02,-0.03,,,,-1,0.03,13,0.03683241252
0.5156537753,-1.38,0.02,-0.02,,,,-1,0.02,14,0.03683241252
0.5524861878,-0.83,0.06,0.02,,,,-1,-0.02,15,0.03683241252
0.5893186004,-1.12,0.02,-0.02,,,,-1,0.02,16,0.03683241252
0.6261510129,-0.94,-0.04,-0.02,,,,-1,0.02,17,0.03683241252
0.6629834254,-1.07,-0.02,0,,,,-1,0,18,0.03683241252
0.6998158379,-0.98,-0.01,-0.02,,,,-1,0.02,19,0.03683241252
0.7366482505,-0.92,0.02,0.03,,,,-1,-0.03,20,0.03683241252
0.773480663,-1.16,-0.05,-0.04,,,,-1,0.04,21,0.03683241252
0.8103130755,-1.15,-0.06,-0.04,,,,-1,0.04,22,0.03683241252
0.847145488,-0.92,0,-0.01,,,,-1,0.01,23,0.03683241252
0.8839779006,-1.21,-0.04,-0.03,,,,-1,0.03,24,0.03683241252
0.9208103131,-0.91,0,0,,,,-1,0,25,0.03683241252
0.9576427256,-1.09,-0.02,-0.01,,,,-1,0.01,26,0.03683241252
0.9944751381,-0.83,0.04,0.01,,,,-1,-0.01,27,0.03683241252
1.031307551,-1.4,-0.02,-0.03,,,,-1,0.03,28,0.03683241252
1.068139963,-0.78,0.03,0,,,,-1,0,29,0.03683241252
1.104972376,-1.09,-0.02,-0.04,,,,-1,0.04,30,0.03683241252
1.141804788,-1.06,-0.01,-0.01,,,,-1,0.01,31,0.03683241252
1.178637201,-0.89,0.01,-0.01,,,,-1,0.01,32,0.03683241252
1.215469613,-1.22,0.02,-0.03,,,,-1,0.03,33,0.03683241252
1.252302026,-0.98,-0.04,-0.01,,,,-1,0.01,34,0.03683241252
1.289134438,-1.15,-0.03,0.02,,,,-1,-0.02,35,0.03683241252
1.325966851,-1.08,-0.06,0,,,,-1,0,36,0.03683241252
1.362799263,-0.84,0.04,0.04,,,,-1,-0.04,37,0.03683241252
1.399631676,-1.41,-0.04,-0.04,,,,-1,0.04,38,0.03683241252
1.436464088,-0.98,0.03,0.03,,,,-1,-0.03,39,0.03683241252
1.473296501,-1.2,-0.04,-0.01,,,,-1,0.01,40,0.03683241252
1.510128913,-1.04,-0.05,-0.04,,,,-1,0.04,41,0.03683241252
1.546961326,-0.79,-0.02,-0.04,,,,-1,0.04,42,0.03683241252
1.583793738,-1.05,-0.05,-0.07,,,,-1,0.07,43,0.03683241252
1.620626151,-0.88,0.03,-0.03,,,,-1,0.03,44,0.03683241252
1.657458564,-1.39,-0.02,-0.03,,,,-1,0.03,45,0.03683241252
1.694290976,-0.98,0.02,0.03,,,,-1,-0.03,46,0.03683241252
1.731123389,-1.07,0.01,0,,,,-1,0,47,0.03683241252
1.767955801,-1.2,-0.05,-0.08,,,,-1,0.08,48,0.03683241252
1.804788214,-0.95,-0.04,-0.03,,,,-1,0.03,49,0.03683241252
1.841620626,-1.15,-0.02,-0.02,,,,-1,0.02,50,0.03683241252
1.878453039,-0.95,0,0.02,,,,-1,-0.02,51,0.03683241252
1.915285451,-1.03,-0.04,0.03,,,,-1,-0.03,52,0.03683241252
1.952117864,-0.83,0.04,0.05,,,,-1,-0.05,53,0.03683241252
1.988950276,-1.14,-0.06,-0.02,,,,-1,0.02,54,0.03683241252
2.025782689,-0.9,-0.01,0.02,,,,-1,-0.02,55,0.03683241252
2.062615101,-1.11,-0.02,-0.03,,,,-1,0.03,56,0.03683241252
2.099447514,-0.86,0,-0.01,,,,-1,0.01,57,0.03683241252
2.136279926,-1.27,0,-0.02,,,,-1,0.02,58,0.03683241252
2.173112339,-0.79,0.02,-0.03,,,,-1,0.03,59,0.03683241252
2.209944751,-1.11,-0.06,-0.05,,,,-1,0.05,60,0.03683241252
2.246777164,-0.94,-0.05,-0.01,,,,-1,0.01,61,0.03683241252
2.283609576,-1.04,0.04,0.03,,,,-1,-0.03,62,0.03683241252
2.320441989,-1.13,-0.04,-0.02,,,,-1,0.02,63,0.03683241252
2.357274401,-1.02,-0.02,-0.02,,,,-1,0.02,64,0.03683241252
2.394106814,-1.13,0.01,0.02,,,,-1,-0.02,65,0.03683241252
2.430939227,-1.05,0.05,-0.04,,,,-1,0.04,66,0.03683241252
2.467771639,-1.07,0.01,0.02,,,,-1,-0.02,67,0.03683241252
2.504604052,-1.03,-0.01,0,,,,-1,0,68,0.03683241252
2.541436464,-1.06,-0.01,0,,,,-1,0,69,0.03683241252
2.578268877,-1.28,-0.02,-0.03,,,,-1,0.03,70,0.03683241252
2.615101289,-1.14,-0.05,-0.07,,,,-1,0.07,71,0.03683241252
2.651933702,-1.16,-0.01,-0.06,,,,-1,0.06,72,0.03683241252
2.688766114,-0.98,-0.03,0,,,,-1,0,73,0.03683241252
2.725598527,-1.08,-0.03,-0.05,,,,-1,0.05,74,0.03683241252
2.762430939,-0.91,0.07,0.04,,,,-1,-0.04,75,0.03683241252
2.799263352,-1.01,0.07,0.02,,,,-1,-0.02,76,0.03683241252
2.836095764,-0.98,0,0.04,,,,-1,-0.04,77,0.03683241252
2.872928177,-1.01,-0.03,-0.01,,,,-1,0.01,78,0.03683241252
