Time	Xa		Ya		Za				
3.183520599	-0.06	Ya=	-0.87	Za=	-0.1			0.037453184	85
3.220973783	-0.03	Ya=	-1.08	Za=	-0.03			0.037453184	86
3.258426966	-0.06	Ya=	-0.95	Za=	-0.05			0.037453184	87
3.29588015	-0.03	Ya=	-1.02	Za=	-0.07			0.037453184	88
3.333333333	-0.05	Ya=	-0.91	Za=	-0.11			0.037453184	89
3.370786517	-0.02	Ya=	-1.14	Za=	-0.01			0.037453184	90
3.4082397	-0.02	Ya=	-0.96	Za=	-0.12			0.037453184	91
3.445692884	-0.04	Ya=	-0.98	Za=	-0.07			0.037453184	92
3.483146067	-0.02	Ya=	-1.16	Za=	-0.03			0.037453184	93
3.520599251	-0.04	Ya=	-0.94	Za=	-0.05			0.037453184	94
3.558052434	-0.05	Ya=	-1	Za=	-0.08			0.037453184	95
3.595505618	-0.05	Ya=	-1.08	Za=	-0.06			0.037453184	96
3.632958801	-0.03	Ya=	-1.08	Za=	-0.06			0.037453184	97
3.670411985	-0.05	Ya=	-1.06	Za=	0			0.037453184	98
3.707865169	-0.05	Ya=	-1	Za=	-0.02			0.037453184	99
3.745318352	-0.04	Ya=	-0.94	Za=	-0.07			0.037453184	100
3.782771536	-0.07	Ya=	-0.98	Za=	-0.04			0.037453184	101
3.820224719	-0.06	Ya=	-0.91	Za=	-0.07			0.037453184	102
3.857677903	-0.05	Ya=	-0.99	Za=	-0.05			0.037453184	103
3.895131086	-0.03	Ya=	-0.97	Za=	-0.02			0.037453184	104
3.93258427	-0.04	Ya=	-1.04	Za=	-0.06			0.037453184	105
3.970037453	-0.04	Ya=	-1.02	Za=	-0.08			0.037453184	106
4.007490637	-0.09	Ya=	-0.95	Za=	-0.06			0.037453184	107
4.04494382	-0.05	Ya=	-0.96	Za=	-0.05			0.037453184	108
4.082397004	-0.02	Ya=	-1	Za=	-0.12			0.037453184	109
4.119850187	-0.03	Ya=	-0.89	Za=	-0.05			0.037453184	110
4.157303371	-0.06	Ya=	-1.01	Za=	-0.01			0.037453184	111
4.194756554	-0.07	Ya=	-1.04	Za=	-0.08			0.037453184	112
4.232209738	-0.04	Ya=	-1	Za=	0.02			0.037453184	113
4.269662921	-0.03	Ya=	-0.91	Za=	-0.11			0.037453184	114
4.307116105	-0.04	Ya=	-1.2	Za=	0.02			0.037453184	115
4.344569288	-0.08	Ya=	-1.09	Za=	0			0.037453184	116
4.382022472	-0.05	Ya=	-1.01	Za=	-0.09			0.037453184	117
4.419475655	-0.02	Ya=	-0.91	Za=	-0.1			0.037453184	118
4.456928839	-0.07	Ya=	-0.98	Za=	-0.08			0.037453184	119
4.494382022	-0.05	Ya=	-0.98	Za=	-0.01			0.037453184	120
4.531835206	-0.05	Ya=	-1.01	Za=	-0.03			0.037453184	121
4.56928839	-0.04	Ya=	-0.93	Za=	-0.08			0.037453184	122
4.606741573	-0.03	Ya=	-1	Za=	-0.04			0.037453184	123
4.644194757	-0.06	Ya=	-0.9	Za=	-0.11			0.037453184	124
4.68164794	-0.01	Ya=	-1.03	Za=	-0.05			0.037453184	125
4.719101124	-0.03	Ya=	-1.06	Za=	-0.03			0.037453184	126
4.756554307	-0.04	Ya=	-0.87	Za=	-0.09			0.037453184	127
4.794007491	-0.01	Ya=	-1.03	Za=	-0.06			0.037453184	128
4.831460674	-0.04	Ya=	-1.05	Za=	-0.06			0.037453184	129
4.868913858	-0.05	Ya=	-1.01	Za=	-0.07			0.037453184	130
4.906367041	-0.07	Ya=	-1.08	Za=	-0.08			0.037453184	131
4.943820225	-0.08	Ya=	-0.9	Za=	0.02			0.037453184	132
4.981273408	-0.03	Ya=	-0.89	Za=	-0.11			0.037453184	133
5.018726592	-0.07	Ya=	-0.97	Za=	-0.05			0.037453184	134
5.056179775	-0.04	Ya=	-0.92	Za=	-0.05			0.037453184	135
5.093632959	-0.05	Ya=	-0.96	Za=	-0.05			0.037453184	136
5.131086142	-0.05	Ya=	-1.05	Za=	0			0.037453184	137
5.168539326	-0.05	Ya=	-0.97	Za=	-0.13			0.037453184	138
5.205992509	-0.03	Ya=	-0.97	Za=	-0.09			0.037453184	139
5.243445693	-0.04	Ya=	-1.09	Za=	-0.05			0.037453184	140
5.280898876	-0.07	Ya=	-0.97	Za=	-0.11			0.037453184	141
5.31835206	-0.04	Ya=	-1.11	Za=	0.04			0.037453184	142
5.355805243	-0.04	Ya=	-0.98	Za=	-0.04			0.037453184	143
5.393258427	-0.03	Ya=	-1.01	Za=	-0.02			0.037453184	144
5.43071161	-0.04	Ya=	-0.97	Za=	-0.05			0.037453184	145
5.468164794	-0.04	Ya=	-0.96	Za=	-0.11			0.037453184	146
5.505617978	-0.04	Ya=	-0.99	Za=	-0.05			0.037453184	147
5.543071161	-0.07	Ya=	-1.04	Za=	-0.02			0.037453184	148
5.580524345	-0.04	Ya=	-0.95	Za=	-0.09			0.037453184	149
5.617977528	0	Ya=	-1.02	Za=	-0.06			0.037453184	150
5.655430712	-0.04	Ya=	-1.01	Za=	-0.06			0.037453184	151
5.692883895	-0.02	Ya=	-0.98	Za=	0			0.037453184	152
