time,Xa,Ya,Za,,,,,,,
0.03696857671,-1.05,0.29,0.1,,,,-1,-0.1,1,0.03696857671
0.07393715342,0,0,-0.99,,,,-1,0.99,2,0.03696857671
0.1109057301,-1.05,0.29,0.1,,,,-1,-0.1,3,0.03696857671
0.1478743068,-1.13,0.38,0.07,,,,-1,-0.07,4,0.03696857671
0.1848428835,-1.02,0.3,0.02,,,,-1,-0.02,5,0.03696857671
0.2218114603,-0.86,0.19,0.05,,,,-1,-0.05,6,0.03696857671
0.258780037,-1.15,0.43,0.07,,,,-1,-0.07,7,0.03696857671
0.2957486137,-1.09,0.42,0.15,,,,-1,-0.15,8,0.03696857671
0.3327171904,-1.03,0.33,0.1,,,,-1,-0.1,9,0.03696857671
0.3696857671,-0.72,0.28,0.08,,,,-1,-0.08,10,0.03696857671
0.4066543438,-0.85,0.31,0.09,,,,-1,-0.09,11,0.03696857671
0.4436229205,-0.94,0.29,0.11,,,,-1,-0.11,12,0.03696857671
0.4805914972,-1.11,0.32,0.09,,,,-1,-0.09,13,0.03696857671
0.5175600739,-1.01,0.37,0.07,,,,-1,-0.07,14,0.03696857671
0.5545286506,-0.96,0.33,0.08,,,,-1,-0.08,15,0.03696857671
0.5914972274,-0.98,0.32,0.09,,,,-1,-0.09,16,0.03696857671
0.6284658041,-1.09,0.38,0.1,,,,-1,-0.1,17,0.03696857671
0.6654343808,-0.94,0.28,0.09,,,,-1,-0.09,18,0.03696857671
0.7024029575,-1.04,0.37,0.12,,,,-1,-0.12,19,0.03696857671
0.7393715342,-1.12,0.35,0.1,,,,-1,-0.1,20,0.03696857671
0.7763401109,-0.8,0.31,0.13,,,,-1,-0.13,21,0.03696857671
0.8133086876,-0.95,0.28,0.06,,,,-1,-0.06,22,0.03696857671
0.8502772643,-0.93,0.33,0.15,,,,-1,-0.15,23,0.03696857671
0.887245841,-1.21,0.39,0.07,,,,-1,-0.07,24,0.03696857671
0.9242144177,-1.01,0.3,0.08,,,,-1,-0.08,25,0.03696857671
0.9611829945,-1.07,0.25,0.08,,,,-1,-0.08,26,0.03696857671
0.9981515712,-1.18,0.39,0.1,,,,-1,-0.1,27,0.03696857671
1.035120148,-1.1,0.36,0.11,,,,-1,-0.11,28,0.03696857671
1.072088725,-1.18,0.3,0.07,,,,-1,-0.07,29,0.03696857671
1.109057301,-0.89,0.34,0.07,,,,-1,-0.07,30,0.03696857671
