time,Xa,Ya,Za,,,,
0.03253796095,0,0.11,0.93,,,1,0.03253796095
0.06507592191,0.07,0.23,1.15,,,2,0.03253796095
0.09761388286,0,0.17,0.8,,,3,0.03253796095
0.1301518438,0.02,0.22,0.95,,,4,0.03253796095
0.1626898048,0.02,0.11,0.75,,,5,0.03253796095
0.1952277657,0.07,0.2,0.55,,,6,0.03253796095
0.2277657267,0,0.25,0.98,,,7,0.03253796095
0.2603036876,0.05,0.18,0.72,,,8,0.03253796095
0.2928416486,0.08,0.17,1.02,,,9,0.03253796095
0.3253796095,0.01,0.13,0.61,,,10,0.03253796095
0.3579175705,0.05,0.18,1.18,,,11,0.03253796095
0.3904555315,0.07,0.19,0.8,,,12,0.03253796095
0.4229934924,0.08,0.25,0.84,,,13,0.03253796095
0.4555314534,0.05,0.16,1.02,,,14,0.03253796095
0.4880694143,0,0.17,0.9,,,15,0.03253796095
0.5206073753,0.05,0.09,0.72,,,16,0.03253796095
0.5531453362,0.03,0.15,0.91,,,17,0.03253796095
0.5856832972,0.03,0.13,0.93,,,18,0.03253796095
0.6182212581,0.11,0.22,0.89,,,19,0.03253796095
0.6507592191,-0.03,0.15,0.93,,,20,0.03253796095
0.68329718,0.03,0.11,0.89,,,21,0.03253796095
0.715835141,0.02,0.2,1.07,,,22,0.03253796095
0.748373102,0.02,0.25,0.96,,,23,0.03253796095
0.7809110629,0.02,0.15,0.83,,,24,0.03253796095
0.8134490239,0.02,0.13,0.89,,,25,0.03253796095
0.8459869848,-0.04,0.15,0.8,,,26,0.03253796095
0.8785249458,0.04,0.08,0.69,,,27,0.03253796095
0.9110629067,0.05,0.21,0.96,,,28,0.03253796095
0.9436008677,0.03,0.17,0.51,,,29,0.03253796095
0.9761388286,0.05,0.21,1.2,,,30,0.03253796095
1.00867679,0.04,0.2,0.77,,,31,0.03253796095
1.041214751,0.02,0.17,1,,,32,0.03253796095
1.073752711,0.03,0.16,0.48,,,33,0.03253796095
1.106290672,0.03,0.16,0.99,,,34,0.03253796095
1.138828633,0.07,0.16,0.56,,,35,0.03253796095
1.171366594,-0.02,0.23,0.99,,,36,0.03253796095
1.203904555,-0.03,0.18,1.03,,,37,0.03253796095
1.236442516,0,0.17,0.9,,,38,0.03253796095
1.268980477,-0.01,0.15,0.8,,,39,0.03253796095
1.301518438,0,0.16,0.74,,,40,0.03253796095
1.334056399,0.02,0.23,0.9,,,41,0.03253796095
1.36659436,0,0.16,1.05,,,42,0.03253796095
1.399132321,0.02,0.11,0.64,,,43,0.03253796095
1.431670282,0.05,0.25,1.48,,,44,0.03253796095
1.464208243,0.11,0.18,0.67,,,45,0.03253796095
1.496746204,-0.01,0.18,1.01,,,46,0.03253796095
1.529284165,0.04,0.14,0.83,,,47,0.03253796095
1.561822126,-0.02,0.18,1.02,,,48,0.03253796095
1.594360087,0.02,0.11,1.03,,,49,0.03253796095
1.626898048,-0.04,0.12,1.13,,,50,0.03253796095
1.659436009,0.05,0.21,1.08,,,51,0.03253796095
1.69197397,0.02,0.14,0.86,,,52,0.03253796095
1.724511931,0.08,0.16,0.81,,,53,0.03253796095
1.757049892,-0.05,0.19,1.11,,,54,0.03253796095
1.789587852,-0.02,0.25,0.79,,,55,0.03253796095
1.822125813,0.02,0.16,1.09,,,56,0.03253796095
1.854663774,0,0.15,0.74,,,57,0.03253796095
1.887201735,0.03,0.24,0.9,,,58,0.03253796095
1.919739696,0.05,0.16,1.05,,,59,0.03253796095
1.952277657,-0.02,0.12,0.94,,,60,0.03253796095
1.984815618,0.04,0.16,0.74,,,61,0.03253796095
2.017353579,0.01,0.09,0.7,,,62,0.03253796095
2.04989154,0.01,0.1,0.88,,,63,0.03253796095
2.082429501,0,0.15,0.81,,,64,0.03253796095
2.114967462,-0.03,0.2,1.48,,,65,0.03253796095
2.147505423,0.04,0.16,0.7,,,66,0.03253796095
2.180043384,0.02,0.26,1.1,,,67,0.03253796095
2.212581345,0,0.16,0.9,,,68,0.03253796095
2.245119306,0.04,0.29,1.14,,,69,0.03253796095
2.277657267,0.02,0.17,0.67,,,70,0.03253796095
2.310195228,-0.02,0.16,1.05,,,71,0.03253796095
2.342733189,0.04,0.22,0.77,,,72,0.03253796095
2.37527115,0,0.17,1.16,,,73,0.03253796095
2.407809111,0.03,0.3,1.16,,,74,0.03253796095
2.440347072,-0.02,0.14,1.29,,,75,0.03253796095
2.472885033,0.01,0.21,0.67,,,76,0.03253796095
2.505422993,-0.02,0.07,0.86,,,77,0.03253796095
2.537960954,0.03,0.23,0.92,,,78,0.03253796095
2.570498915,-0.05,0.23,1.11,,,79,0.03253796095
2.603036876,0.09,0.25,1.01,,,80,0.03253796095
2.635574837,-0.01,0.18,0.99,,,81,0.03253796095
2.668112798,0.02,0.18,0.64,,,82,0.03253796095
2.700650759,0.01,0.15,0.92,,,83,0.03253796095
2.73318872,0.01,0.15,0.55,,,84,0.03253796095
2.765726681,0.04,0.23,1.16,,,85,0.03253796095
2.798264642,-0.06,0.17,0.71,,,86,0.03253796095
2.830802603,0.01,0.19,1.11,,,87,0.03253796095
2.863340564,0,0.09,0.84,,,88,0.03253796095
2.895878525,0.03,0.21,0.84,,,89,0.03253796095
2.928416486,0.09,0.27,0.78,,,90,0.03253796095
2.960954447,0.04,0.22,1.1,,,91,0.03253796095
2.993492408,-0.02,0.15,1.02,,,92,0.03253796095
3.026030369,0.09,0.23,1,,,93,0.03253796095
3.05856833,0.06,0.26,0.92,,,94,0.03253796095
3.091106291,0.07,0.18,0.7,,,95,0.03253796095
3.123644252,0.07,0.21,0.5,,,96,0.03253796095
3.156182213,0.05,0.17,0.77,,,97,0.03253796095
