time,Xa,Ya,Za,,,,
0.03229278794,0.16,0.3,1.03,,,1,0.03229278794
0.06458557589,0.13,0.41,0.76,,,2,0.03229278794
0.09687836383,0.12,0.38,0.76,,,3,0.03229278794
0.1291711518,-0.02,0.24,0.84,,,4,0.03229278794
0.1614639397,0.14,0.37,0.85,,,5,0.03229278794
0.1937567277,0.12,0.36,0.86,,,6,0.03229278794
0.2260495156,0.15,0.36,0.84,,,7,0.03229278794
0.2583423036,0.09,0.25,0.94,,,8,0.03229278794
0.2906350915,0.07,0.32,0.83,,,9,0.03229278794
0.3229278794,0.11,0.41,0.88,,,10,0.03229278794
0.3552206674,0.14,0.39,0.8,,,11,0.03229278794
0.3875134553,-0.01,0.37,0.84,,,12,0.03229278794
0.4198062433,0.03,0.43,1.07,,,13,0.03229278794
0.4520990312,0.18,0.35,0.79,,,14,0.03229278794
0.4843918192,0.16,0.39,0.96,,,15,0.03229278794
0.5166846071,0.11,0.54,0.92,,,16,0.03229278794
0.548977395,0.1,0.32,0.95,,,17,0.03229278794
0.581270183,0.11,0.55,1,,,18,0.03229278794
0.6135629709,0.03,0.26,0.73,,,19,0.03229278794
0.6458557589,0.07,0.32,0.73,,,20,0.03229278794
0.6781485468,0.09,0.42,0.94,,,21,0.03229278794
0.7104413348,0.04,0.29,0.83,,,22,0.03229278794
0.7427341227,0.04,0.27,0.68,,,23,0.03229278794
0.7750269107,0.08,0.33,0.88,,,24,0.03229278794
0.8073196986,0.07,0.5,0.78,,,25,0.03229278794
0.8396124865,0.05,0.62,0.88,,,26,0.03229278794
0.8719052745,0.06,0.27,0.72,,,27,0.03229278794
0.9041980624,0.14,0.62,0.82,,,28,0.03229278794
0.9364908504,0.02,0.38,0.89,,,29,0.03229278794
0.9687836383,0.11,0.46,0.88,,,30,0.03229278794
1.001076426,0.13,0.44,0.77,,,31,0.03229278794
1.033369214,0.07,0.37,0.85,,,32,0.03229278794
1.065662002,0.02,0.37,0.96,,,33,0.03229278794
1.09795479,0.18,0.38,0.75,,,34,0.03229278794
1.130247578,-0.01,0.38,0.78,,,35,0.03229278794
1.162540366,0.08,0.38,0.89,,,36,0.03229278794
1.194833154,0.19,0.24,0.63,,,37,0.03229278794
1.227125942,0.05,0.44,0.81,,,38,0.03229278794
1.25941873,0.19,0.37,0.72,,,39,0.03229278794
1.291711518,0.11,0.36,0.88,,,40,0.03229278794
1.324004306,0.07,0.38,0.96,,,41,0.03229278794
1.356297094,0.11,0.47,0.66,,,42,0.03229278794
1.388589882,0.02,0.1,0.45,,,43,0.03229278794
1.42088267,0.13,0.22,0.79,,,44,0.03229278794
1.453175457,0.12,0.22,0.63,,,45,0.03229278794
1.485468245,0.05,0.25,0.61,,,46,0.03229278794
1.517761033,0.11,0.39,0.93,,,47,0.03229278794
1.550053821,0.1,0.41,0.95,,,48,0.03229278794
1.582346609,0.05,0.24,0.84,,,49,0.03229278794
1.614639397,0.05,0.3,0.77,,,50,0.03229278794
1.646932185,0.23,0.42,0.91,,,51,0.03229278794
1.679224973,0.07,0.31,0.71,,,52,0.03229278794
1.711517761,0.09,0.29,0.74,,,53,0.03229278794
1.743810549,0.02,0.4,0.97,,,54,0.03229278794
1.776103337,0.04,0.24,0.86,,,55,0.03229278794
1.808396125,0.09,0.4,0.88,,,56,0.03229278794
1.840688913,0.03,0.26,0.6,,,57,0.03229278794
1.872981701,0.11,0.28,0.66,,,58,0.03229278794
1.905274489,0.05,0.38,1,,,59,0.03229278794
1.937567277,0.12,0.44,0.96,,,60,0.03229278794
1.969860065,0.04,0.26,0.63,,,61,0.03229278794
2.002152853,0.06,0.25,0.95,,,62,0.03229278794
2.03444564,0.05,0.33,0.77,,,63,0.03229278794
2.066738428,0.07,0.34,0.83,,,64,0.03229278794
2.099031216,0.17,0.41,0.82,,,65,0.03229278794
2.131324004,0.06,0.39,1.05,,,66,0.03229278794
2.163616792,0.05,0.54,1.12,,,67,0.03229278794
