time,Xa,Ya,Za,,,,
0.03225806452,0.12,0.43,0.79,,,1,0.03225806452
0.06451612903,0.12,0.44,0.86,,,2,0.03225806452
0.09677419355,0.13,0.43,0.82,,,3,0.03225806452
0.1290322581,0.12,0.41,0.79,,,4,0.03225806452
0.1612903226,0.13,0.44,0.82,,,5,0.03225806452
0.1935483871,0.13,0.44,0.91,,,6,0.03225806452
0.2258064516,0.14,0.4,0.91,,,7,0.03225806452
0.2580645161,0.12,0.41,0.83,,,8,0.03225806452
0.2903225806,0.1,0.37,0.65,,,9,0.03225806452
0.3225806452,0.13,0.42,0.82,,,10,0.03225806452
0.3548387097,0.11,0.44,0.87,,,11,0.03225806452
0.3870967742,0.12,0.38,0.77,,,12,0.03225806452
0.4193548387,0.12,0.42,0.96,,,13,0.03225806452
0.4516129032,0.12,0.37,0.8,,,14,0.03225806452
0.4838709677,0.09,0.41,0.8,,,15,0.03225806452
0.5161290323,0.11,0.35,0.66,,,16,0.03225806452
0.5483870968,0.12,0.38,0.65,,,17,0.03225806452
0.5806451613,0.12,0.44,0.9,,,18,0.03225806452
0.6129032258,0.11,0.47,1.02,,,19,0.03225806452
0.6451612903,0.1,0.41,0.79,,,20,0.03225806452
0.6774193548,0.14,0.41,0.77,,,21,0.03225806452
0.7096774194,0.11,0.43,0.91,,,22,0.03225806452
0.7419354839,0.13,0.44,0.79,,,23,0.03225806452
0.7741935484,0.14,0.4,0.8,,,24,0.03225806452
0.8064516129,0.13,0.4,0.74,,,25,0.03225806452
0.8387096774,0.15,0.44,0.79,,,26,0.03225806452
0.8709677419,0.12,0.41,0.8,,,27,0.03225806452
0.9032258065,0.14,0.43,0.98,,,28,0.03225806452
0.935483871,0.12,0.39,0.64,,,29,0.03225806452
0.9677419355,0.12,0.39,0.73,,,30,0.03225806452
1,0.11,0.44,0.79,,,31,0.03225806452
1.032258065,0.12,0.39,0.73,,,32,0.03225806452
1.064516129,0.16,0.43,0.74,,,33,0.03225806452
1.096774194,0.13,0.35,0.61,,,34,0.03225806452
1.129032258,0.12,0.41,0.86,,,35,0.03225806452
1.161290323,0.11,0.39,0.71,,,36,0.03225806452
1.193548387,0.12,0.41,0.75,,,37,0.03225806452
1.225806452,0.08,0.39,0.89,,,38,0.03225806452
1.258064516,0.1,0.39,0.89,,,39,0.03225806452
1.290322581,0.13,0.39,0.76,,,40,0.03225806452
1.322580645,0.11,0.35,0.7,,,41,0.03225806452
1.35483871,0.14,0.37,0.67,,,42,0.03225806452
1.387096774,0.12,0.38,0.76,,,43,0.03225806452
1.419354839,0.16,0.43,0.76,,,44,0.03225806452
1.451612903,0.15,0.43,0.83,,,45,0.03225806452
1.483870968,0.14,0.38,0.71,,,46,0.03225806452
1.516129032,0.12,0.44,0.91,,,47,0.03225806452
1.548387097,0.16,0.46,1.07,,,48,0.03225806452
1.580645161,0.11,0.4,0.93,,,49,0.03225806452
1.612903226,0.11,0.4,0.9,,,50,0.03225806452
