Time,Xa,Ya,Za,,,,,,,,,,,
3.20610687,-0.07,-1.21,-0.41,,,,,,,,,,0.038167939,84
3.244274809,-0.12,-0.97,-0.42,,,,,,,,,,0.038167939,85
3.282442748,-0.11,-1.19,-0.43,,,,,,,,,,0.038167939,86
3.320610687,-0.14,-0.96,-0.34,,,,,,,,,,0.038167939,87
3.358778626,-0.12,-0.81,-0.52,,,,,,,,,,0.038167939,88
3.396946565,-0.13,-1.13,-0.35,,,,,,,,,,0.038167939,89
3.435114504,-0.11,-0.96,-0.29,,,,,,,,,,0.038167939,90
3.473282443,-0.09,-1.19,-0.45,,,,,,,,,,0.038167939,91
3.511450382,-0.19,-0.46,-0.22,,,,,,,,,,0.038167939,92
3.549618321,-0.11,-1.1,-0.27,,,,,,,,,,0.038167939,93
3.58778626,-0.08,-1.38,-0.36,,,,,,,,,,0.038167939,94
3.625954198,-0.09,-0.97,-0.32,,,,,,,,,,0.038167939,95
3.664122137,-0.13,-0.81,-0.16,,,,,,,,,,0.038167939,96
3.702290076,-0.13,-1.41,-0.05,,,,,,,,,,0.038167939,97
3.740458015,-0.19,-0.42,-0.52,,,,,,,,,,0.038167939,98
3.778625954,-0.18,-0.32,-0.36,,,,,,,,,,0.038167939,99
3.816793893,-0.16,-0.7,-0.18,,,,,,,,,,0.038167939,100
3.854961832,-0.09,-0.65,-0.6,,,,,,,,,,0.038167939,101
3.893129771,-0.09,-1.34,-0.29,,,,,,,,,,0.038167939,102
3.93129771,-0.18,0.14,-0.2,,,,,,,,,,0.038167939,103
3.969465649,-0.03,-1.91,-0.39,,,,,,,,,,0.038167939,104
4.007633588,-0.14,-0.58,-0.45,,,,,,,,,,0.038167939,105
4.045801527,-0.11,-0.63,-0.7,,,,,,,,,,0.038167939,106
4.083969466,-0.11,-1.2,-0.29,,,,,,,,,,0.038167939,107
4.122137405,-0.09,-0.8,-0.36,,,,,,,,,,0.038167939,108
4.160305344,-0.1,-0.71,-0.41,,,,,,,,,,0.038167939,109
4.198473282,-0.09,-1.1,-0.32,,,,,,,,,,0.038167939,110
4.236641221,-0.14,-0.45,-0.41,,,,,,,,,,0.038167939,111
4.27480916,-0.08,-1.65,-0.18,,,,,,,,,,0.038167939,112
4.312977099,-0.14,-0.83,-0.29,,,,,,,,,,0.038167939,113
4.351145038,-0.17,-1.15,-0.21,,,,,,,,,,0.038167939,114
4.389312977,-0.09,-0.71,-0.45,,,,,,,,,,0.038167939,115
4.427480916,-0.18,-0.98,-0.21,,,,,,,,,,0.038167939,116
4.465648855,-0.18,-1.34,-0.07,,,,,,,,,,0.038167939,117
4.503816794,-0.13,-0.52,-0.34,,,,,,,,,,0.038167939,118
4.541984733,-0.09,-0.98,-0.39,,,,,,,,,,0.038167939,119
4.580152672,-0.14,-0.98,-0.39,,,,,,,,,,0.038167939,120
4.618320611,-0.17,-1.14,-0.27,,,,,,,,,,0.038167939,121
4.65648855,-0.15,-0.44,-0.32,,,,,,,,,,0.038167939,122
4.694656489,-0.09,-1.32,-0.22,,,,,,,,,,0.038167939,123
4.732824427,-0.17,-0.62,-0.11,,,,,,,,,,0.038167939,124
4.770992366,-0.09,-0.46,-0.51,,,,,,,,,,0.038167939,125
4.809160305,-0.08,-1.76,-0.34,,,,,,,,,,0.038167939,126
4.847328244,-0.1,-1.25,-0.36,,,,,,,,,,0.038167939,127
4.885496183,-0.09,-1.34,-0.34,,,,,,,,,,0.038167939,128
4.923664122,-0.14,-0.51,-0.47,,,,,,,,,,0.038167939,129
4.961832061,-0.07,-1.49,-0.25,,,,,,,,,,0.038167939,130
5,-0.1,-0.88,-0.35,,,,,,,,,,0.038167939,131
5.038167939,-0.05,-1.15,-0.3,,,,,,,,,,0.038167939,132
5.076335878,-0.18,-0.74,-0.27,,,,,,,,,,0.038167939,133
5.114503817,-0.11,-1.56,-0.3,,,,,,,,,,0.038167939,134
5.152671756,-0.04,-1.31,-0.54,,,,,,,,,,0.038167939,135
5.190839695,-0.16,-0.51,-0.49,,,,,,,,,,0.038167939,136
5.229007634,-0.13,-1.18,-0.38,,,,,,,,,,0.038167939,137
5.267175573,-0.24,-0.1,-0.24,,,,,,,,,,0.038167939,138
5.305343511,-0.08,-1.43,-0.32,,,,,,,,,,0.038167939,139
5.34351145,-0.22,0.06,-0.13,,,,,,,,,,0.038167939,140
5.381679389,-0.16,-0.83,-0.27,,,,,,,,,,0.038167939,141
5.419847328,-0.19,-1,-0.08,,,,,,,,,,0.038167939,142
5.458015267,-0.09,-1.39,-0.36,,,,,,,,,,0.038167939,143
5.496183206,-0.14,-0.81,-0.37,,,,,,,,,,0.038167939,144
5.534351145,-0.16,-0.43,-0.18,,,,,,,,,,0.038167939,145
5.572519084,-0.12,-1.02,-0.4,,,,,,,,,,0.038167939,146
5.610687023,-0.2,-0.4,-0.27,,,,,,,,,,0.038167939,147
5.648854962,-0.23,-0.82,-0.11,,,,,,,,,,0.038167939,148
5.687022901,-0.14,-1.56,-0.1,,,,,,,,,,0.038167939,149
5.72519084,-0.18,-0.45,-0.41,,,,,,,,,,0.038167939,150
5.763358779,-0.11,-1.12,-0.43,,,,,,,,,,0.038167939,151
5.801526718,-0.13,-1.29,-0.37,,,,,,,,,,0.038167939,152
5.839694656,-0.08,-0.63,-0.55,,,,,,,,,,0.038167939,153
5.877862595,-0.06,-1.45,-0.51,,,,,,,,,,0.038167939,154
5.916030534,-0.12,-0.83,-0.46,,,,,,,,,,0.038167939,155
5.954198473,-0.11,-1.34,-0.3,,,,,,,,,,0.038167939,156
5.992366412,-0.12,-0.84,-0.5,,,,,,,,,,0.038167939,157
6.030534351,-0.09,-0.57,-0.57,,,,,,,,,,0.038167939,158
6.06870229,-0.09,-1.63,-0.21,,,,,,,,,,0.038167939,159
6.106870229,-0.13,-0.66,-0.48,,,,,,,,,,0.038167939,160
6.145038168,-0.05,-1.44,-0.42,,,,,,,,,,0.038167939,161
6.183206107,-0.13,-1,-0.34,,,,,,,,,,0.038167939,162
6.221374046,-0.12,-1.5,-0.12,,,,,,,,,,0.038167939,163
6.259541985,-0.12,-1.09,-0.56,,,,,,,,,,0.038167939,164
6.297709924,-0.19,-0.53,-0.31,,,,,,,,,,0.038167939,165
6.335877863,-0.09,-1.7,-0.35,,,,,,,,,,0.038167939,166
6.374045802,-0.05,-0.58,-0.8,,,,,,,,,,0.038167939,167
6.41221374,-0.07,-0.82,-0.81,,,,,,,,,,0.038167939,168
6.450381679,-0.1,-1.43,-0.38,,,,,,,,,,0.038167939,169
