time,Xa,Ya,Za,,,,,,,
0.0365630713,-0.96,0.22,0.18,,,,-1,-0.18,1,0.0365630713
0.0731261426,-1.06,0.3,0.26,,,,-1,-0.26,2,0.0365630713
0.1096892139,-0.85,0.34,0.3,,,,-1,-0.3,3,0.0365630713
0.1462522852,-0.96,0.22,0.18,,,,-1,-0.18,4,0.0365630713
0.1828153565,-1.07,0.25,0.24,,,,-1,-0.24,5,0.0365630713
0.2193784278,-1.07,0.25,0.24,,,,-1,-0.24,6,0.0365630713
0.2559414991,-1.31,0.27,0.25,,,,-1,-0.25,7,0.0365630713
0.2925045704,-1.03,0.41,0.3,,,,-1,-0.3,8,0.0365630713
0.3290676417,-1.02,0.35,0.28,,,,-1,-0.28,9,0.0365630713
0.365630713,-0.93,0.24,0.23,,,,-1,-0.23,10,0.0365630713
0.4021937843,-1.23,0.22,0.22,,,,-1,-0.22,11,0.0365630713
0.4387568556,-1.02,0.29,0.23,,,,-1,-0.23,12,0.0365630713
0.4753199269,-0.93,0.22,0.24,,,,-1,-0.24,13,0.0365630713
0.5118829982,-1.1,0.24,0.22,,,,-1,-0.22,14,0.0365630713
0.5484460695,-1.03,0.31,0.26,,,,-1,-0.26,15,0.0365630713
0.5850091408,-0.94,0.33,0.3,,,,-1,-0.3,16,0.0365630713
0.6215722121,-1.17,0.31,0.26,,,,-1,-0.26,17,0.0365630713
0.6581352834,-1.01,0.31,0.28,,,,-1,-0.28,18,0.0365630713
0.6946983547,-0.9,0.28,0.26,,,,-1,-0.26,19,0.0365630713
0.731261426,-0.96,0.32,0.29,,,,-1,-0.29,20,0.0365630713
0.7678244973,-0.97,0.32,0.23,,,,-1,-0.23,21,0.0365630713
0.8043875686,-1.26,0.25,0.22,,,,-1,-0.22,22,0.0365630713
0.8409506399,-1.04,0.27,0.23,,,,-1,-0.23,23,0.0365630713
0.8775137112,-1.08,0.33,0.23,,,,-1,-0.23,24,0.0365630713
0.9140767824,-1,0.33,0.29,,,,-1,-0.29,25,0.0365630713
0.9506398537,-1.07,0.22,0.27,,,,-1,-0.27,26,0.0365630713
0.987202925,-1.18,0.29,0.26,,,,-1,-0.26,27,0.0365630713
